Beta-07
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2021/4/20,   9:26:23,  3.958750,    0,       0.000000,       0.000000,        81,        27,        17,         9,         0,         0,         0,         1,         1,         0,         1,         1, 20.280001,39.945312,102100.953125,-64.403549
 2021/4/20,   9:26:33,  3.958750,    0,       0.000000,       0.000000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.330000,39.701172,102103.968750,-64.653412
 2021/4/20,   9:26:43,  3.958750,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.400000,39.362305,102107.375000,-64.935249
 2021/4/20,   9:26:53,  3.956250,    0,       0.000000,       0.000000,        60,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.440001,39.128906,102096.179688,-64.008759
 2021/4/20,    9:27:3,  3.956250,    0,       0.000000,       0.000000,        63,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.500000,39.240234,102101.109375,-64.417542
 2021/4/20,   9:27:13,  3.956250,    0,       0.000000,       0.000000,        63,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.549999,40.243164,102098.195312,-64.175674
 2021/4/20,   9:27:23,  3.953750,    0,       0.000000,       0.000000,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.600000,39.498047,102103.625000,-64.625427
 2021/4/20,   9:27:33,  3.952500,    0,       0.000000,       0.000000,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.639999,42.045898,102094.796875,-63.894814
 2021/4/20,   9:27:43,  3.951250,    0,       0.000000,       0.000000,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.690001,43.179688,102100.656250,-64.150681
 2021/4/20,   9:27:53,  3.948750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.750000,40.796875,102098.617188,-64.210655
 2021/4/20,    9:28:3,  3.948750,    0,       0.000000,       0.000000,        87,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 20.799999,40.003906,102104.468750,-64.694389
