S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
66.0,65.0,71.0,63.0,81.0,74.0,102.0,86.0,89.33333333333333,121.0,57.0,71.0,68.33333333333333,109.0,42.0,197.0,83.0,78.05128205128206,1975.881656804734,76.4,73.06666666666666,89.1111111111111,107.75
67.0,86.0,89.0,54.0,106.0,57.0,105.0,89.33333333333333,62.333333333333336,121.0,53.333333333333336,71.0,51.333333333333336,105.0,53.0,135.0,47.0,77.87179487179488,2383.4516765285994,80.26666666666667,74.86666666666666,78.8888888888889,85.0
127.0,88.0,39.0,40.0,48.0,70.0,108.0,63.0,68.0,78.33333333333333,48.0,71.0,68.0,76.0,77.0,38.0,42.0,70.48717948717949,1751.3846153846155,85.2,59.2,64.77777777777777,58.25
76.0,83.0,52.0,43.0,42.0,95.0,110.0,70.0,65.0,81.0,29.333333333333332,64.0,60.333333333333336,43.0,99.0,72.0,52.0,66.97435897435896,1841.1558185404344,76.4,62.666666666666664,58.44444444444445,66.5
64.0,54.0,68.0,58.0,47.0,89.0,78.0,75.0,76.0,81.0,27.0,74.0,64.0,66.0,54.0,56.0,62.0,65.76923076923077,1444.7928994082843,65.8,68.4,61.333333333333336,59.5
50.0,70.0,62.0,39.0,64.0,81.0,111.33333333333333,135.33333333333334,75.33333333333333,51.666666666666664,35.333333333333336,33.0,48.0,131.0,48.0,82.0,76.0,65.84615384615385,2582.055226824458,81.13333333333333,57.6,54.111111111111114,84.25
14139.666666666666,13.0,68.0,68.0,433.0,92.0,92.0,107.0,53.0,57.0,37.0,43.0,46.333333333333336,132.0,42.0,77.0,49.0,1173.0,24331935.10059172,2883.9333333333334,136.46666666666667,49.0,75.0
19896.666666666668,39.0,106.0,364.0,64.0,63.0,66.0,54.333333333333336,54.0,57.0,37.333333333333336,39.0,55.333333333333336,60.0,35.0,32.0,66.0,1607.3589743589746,50526271.61341223,4084.0,65.46666666666667,49.44444444444445,48.25
4827.0,80.0,108.0,655.0,234.0,107.0,66.0,26.0,55.0,70.66666666666667,40.0,42.333333333333336,51.0,65.0,42.0,45.0,35.0,489.3846153846154,2530511.2899408285,1130.8,108.46666666666665,55.22222222222223,46.75
2790.0,135.0,160.0,349.0,64.0,226.0,140.0,98.33333333333333,55.333333333333336,77.0,32.333333333333336,69.33333333333333,56.333333333333336,73.0,42.0,45.0,88.0,327.12820512820514,717416.966469428,702.4666666666667,115.13333333333335,54.88888888888889,62.0
27359.0,530.0,203.0,937.0,190.0,570.0,349.3333333333333,311.3333333333333,68.0,77.0,22.0,96.0,62.0,72.0,93.0,69.0,92.0,2367.2820512820513,68707659.18343195,5897.333333333333,224.2,55.666666666666664,81.5
15937.0,921.0,215.0,1143.0,713.0,121.0,812.3333333333334,483.0,54.333333333333336,68.0,20.0,141.0,82.33333333333333,87.0,97.0,59.0,80.0,1593.153846153846,31070094.40236686,3859.2666666666664,254.46666666666664,47.44444444444445,80.75
9533.0,1220.0,279.0,1028.0,463.0,98.0,1209.0,782.3333333333334,40.333333333333336,107.33333333333333,73.0,163.0,78.0,63.0,72.0,44.0,75.0,1159.5384615384617,11786672.14990138,2754.4666666666667,216.2,73.55555555555556,63.5
13701.0,1536.0,315.0,1010.0,472.0,160.0,1792.0,1565.0,81.0,106.0,128.0,221.0,160.33333333333334,73.0,45.0,61.0,74.0,1634.4102564102566,18263928.03550296,3920.8,265.66666666666663,105.0,63.25
15013.666666666666,1972.0,481.0,1998.0,835.0,338.0,2313.0,2756.0,63.333333333333336,142.0,225.33333333333334,292.0,418.0,62.0,20.0,89.0,70.0,2065.179487179487,36610583.05719921,4810.533333333333,472.8,143.55555555555557,60.25
17921.0,2699.0,937.0,1744.0,1196.0,498.0,2387.3333333333335,3328.0,114.0,169.0,323.0,381.0,477.0,72.0,29.0,194.0,48.0,2474.9487179487182,55985327.14792899,5615.866666666667,697.8,202.0,85.75
5693.0,2241.0,852.0,1664.0,1680.0,665.0,3142.0,3298.3333333333335,283.0,176.0,334.0,454.3333333333333,500.3333333333333,87.0,28.0,214.0,50.0,1614.076923076923,4641883.167652859,3207.666666666667,830.3333333333334,264.3333333333333,94.75
1966.0,1546.0,919.0,1450.0,1897.0,594.0,2462.3333333333335,2761.3333333333335,361.3333333333333,343.3333333333333,364.0,505.0,471.0,76.0,20.0,298.0,37.0,1203.1025641025642,891808.0512820514,2037.1333333333337,877.2,356.2222222222222,107.75
1762.0,2061.0,1018.0,1456.0,2138.0,787.0,1969.0,2631.3333333333335,552.3333333333334,727.3333333333334,328.0,569.0,504.3333333333333,84.0,24.0,482.0,49.0,1269.4871794871794,732364.5956607495,1975.8666666666668,1003.2666666666667,535.8888888888889,159.75
1563.0,2141.0,1008.0,1407.0,2381.0,875.0,2434.0,2453.3333333333335,536.0,902.0,288.0,492.0,503.3333333333333,163.0,57.0,318.0,69.0,1306.4358974358975,814908.9467455623,1999.6666666666667,1051.8666666666666,575.3333333333334,151.75
