S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
87.0,70.0,112.0,34.0,27.0,117.0,84.0,110.0,103.66666666666667,74.0,66.0,72.0,81.0,50.0,102.0,100.0,98.0,79.82051282051282,1937.1597633136091,79.33333333333333,82.45833333333334,70.0,87.5
87.0,59.0,128.0,58.0,27.0,112.0,90.0,123.0,72.0,76.0,71.33333333333333,80.33333333333333,81.0,52.0,68.0,36.0,92.0,81.8974358974359,1828.8402366863909,85.66666666666667,82.54166666666667,73.66666666666666,62.0
76.0,90.0,106.0,90.0,39.0,77.0,80.66666666666667,120.66666666666667,66.0,69.33333333333333,77.0,73.0,84.0,60.0,61.0,55.0,76.0,80.66666666666667,1618.788954635109,81.0,82.41666666666667,73.16666666666666,63.0
86.0,130.0,136.0,84.0,56.0,86.0,93.0,130.66666666666666,91.33333333333333,72.0,86.0,65.0,75.0,46.0,53.0,47.0,104.0,91.6153846153846,1557.1518737672584,85.33333333333333,97.125,79.0,62.5
111.0,90.0,90.0,45.0,59.0,91.0,109.33333333333333,101.33333333333333,82.0,62.0,95.0,48.0,50.666666666666664,61.0,60.0,67.0,119.0,79.56410256410255,1178.1854043392505,82.33333333333333,78.79166666666666,78.5,76.75
101.0,27.0,145.0,28.0,74.0,78.0,96.0,37.333333333333336,69.33333333333333,45.333333333333336,81.33333333333333,64.0,45.0,72.0,73.0,86.0,87.0,68.56410256410255,1809.96449704142,69.0,69.70833333333333,63.33333333333333,79.5
88.0,33.0,141.0,48.0,72.0,88.0,84.0,42.0,72.0,20.0,68.0,61.0,51.0,99.0,104.0,83.0,129.0,66.76923076923077,2862.4970414201184,74.66666666666667,69.5,44.0,103.75
95.0,46.0,72.0,63.0,82.0,406.0,72.0,45.333333333333336,43.0,20.0,75.66666666666667,51.333333333333336,61.333333333333336,91.0,109.0,98.0,115.0,87.12820512820512,21996.015779092704,188.0,59.12499999999999,47.833333333333336,103.25
80.0,43.0,59.0,59.0,48.0,1626.0,61.333333333333336,64.0,41.333333333333336,43.333333333333336,84.0,33.0,54.0,100.0,74.0,61.0,87.0,176.6153846153846,515359.7751479289,588.3333333333334,50.458333333333336,63.66666666666667,80.5
188.0,163.0,163.0,101.0,63.0,361.0,72.0,143.0,41.333333333333336,48.0,66.33333333333333,58.0,51.0,79.0,86.0,80.0,76.0,116.82051282051282,24584.071005917158,216.66666666666666,94.29166666666667,57.166666666666664,80.25
2404.0,305.0,239.0,467.0,185.0,128.0,124.33333333333333,186.33333333333334,23.0,47.333333333333336,49.0,94.0,62.333333333333336,65.0,89.0,111.0,76.0,331.87179487179486,550735.1124260356,999.6666666666666,152.375,48.16666666666667,85.25
4857.0,672.0,302.0,1109.0,657.0,345.0,286.0,498.0,26.333333333333332,49.333333333333336,68.66666666666667,106.0,121.0,86.0,54.0,128.0,106.0,699.7948717948717,1883318.765285996,2103.6666666666665,333.5416666666667,59.0,93.5
2876.0,1086.0,828.0,4900.0,2161.0,321.0,625.0,555.0,88.0,165.0,89.0,123.0,122.0,68.0,79.0,127.0,103.0,1072.2307692307693,3213361.313609468,2699.0,698.5,127.0,94.25
2617.0,1807.0,1022.0,2297.0,1385.0,920.0,598.0,607.3333333333334,116.0,176.0,106.33333333333333,342.3333333333333,187.0,81.0,68.0,125.0,102.0,937.0,1013595.4280078895,1944.6666666666667,758.0833333333333,141.16666666666666,94.0
3367.0,1667.0,1044.0,2105.0,1799.0,520.0,754.6666666666666,659.6666666666666,127.33333333333333,234.0,124.0,557.0,381.0,99.0,55.0,105.0,92.0,1026.128205128205,1334773.1400394477,1997.3333333333333,873.7083333333334,179.0,87.75
2858.0,1398.0,954.0,1585.0,2555.0,297.0,934.0,722.6666666666666,164.66666666666666,346.0,310.3333333333333,752.0,382.3333333333333,85.0,65.0,130.0,59.0,1019.923076923077,1050713.9763313609,1580.0,982.8333333333334,328.16666666666663,84.75
2207.0,1974.0,1077.0,1212.0,1319.0,544.0,1240.3333333333333,878.0,443.0,369.0,497.0,698.0,414.3333333333333,55.0,60.0,282.0,111.0,990.2051282051283,497288.54437869816,1321.0,1005.4583333333333,433.0,127.0
