S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
53.0,48.0,120.0,79.0,66.0,76.0,82.33333333333333,86.0,104.0,56.333333333333336,0.0,99.33333333333333,76.33333333333333,78.0,36.0,50.0,148.0,72.7948717948718,1473.4437869822486,86.13333333333333,73.66666666666666,0.0,78.0
102.0,56.0,103.0,117.0,81.0,46.0,93.0,93.0,111.0,65.0,0.0,55.0,72.0,50.0,15.0,65.0,126.0,76.46153846153845,1766.2721893491125,79.8,85.0,0.0,64.0
141.0,77.0,82.0,74.0,26.0,66.0,57.0,83.33333333333333,97.33333333333333,88.66666666666667,0.0,57.0,77.66666666666667,54.0,35.0,71.0,151.0,71.3076923076923,1696.6114398422094,80.6,74.85714285714286,0.0,77.75
84.0,70.0,58.0,95.0,28.0,114.0,60.0,67.0,76.0,72.0,0.0,81.0,141.33333333333334,58.0,56.0,48.0,90.0,72.79487179487181,2416.390532544379,79.4,78.47619047619048,0.0,63.0
91.0,50.0,78.0,90.0,57.0,39.0,93.0,56.333333333333336,66.0,56.0,20.0,100.0,137.0,34.0,77.0,45.0,78.0,71.79487179487178,1841.6923076923078,80.2,73.19047619047619,20.0,58.5
80.0,52.0,117.0,89.0,66.0,36.0,93.0,65.33333333333333,64.0,63.333333333333336,55.0,88.0,103.33333333333333,69.0,72.0,54.0,71.0,74.76923076923076,1710.0552268244576,82.8,71.85714285714285,55.0,66.5
79.0,82.0,65.0,81.0,57.0,47.0,85.33333333333333,64.0,96.33333333333333,46.0,0.0,87.33333333333333,85.0,93.0,90.0,78.0,57.0,67.3076923076923,1963.404339250493,72.73333333333332,73.04761904761905,0.0,79.5
90.0,80.0,75.0,57.0,51.0,59.0,113.33333333333333,68.33333333333333,76.0,38.0,0.0,48.0,88.0,83.0,79.0,72.0,44.0,64.8974358974359,1356.2721893491125,77.06666666666666,65.47619047619047,0.0,69.5
120.0,118.0,86.0,544.0,100.0,2214.0,75.0,124.33333333333333,73.33333333333333,41.0,0.0,60.0,87.33333333333333,76.0,48.0,40.0,92.0,280.2307692307692,682314.7455621302,511.0,155.42857142857142,0.0,64.0
265.0,121.0,87.0,211.0,173.0,1606.0,126.0,128.0,70.0,41.333333333333336,0.0,99.0,156.33333333333334,88.0,36.0,37.0,76.0,237.2051282051282,317017.94871794875,436.6,128.66666666666669,0.0,59.25
514.0,245.0,267.0,569.0,330.0,3330.0,177.0,206.33333333333334,75.0,77.0,0.0,302.0,264.0,50.0,52.0,62.0,112.0,488.94871794871796,1554138.2130177515,918.0,252.33333333333331,0.0,69.0
929.0,528.0,688.0,1022.0,354.0,1710.0,187.0,669.3333333333334,88.0,94.33333333333333,0.0,404.3333333333333,394.6666666666667,51.0,33.0,22.0,91.0,543.7435897435897,521355.5621301776,783.6666666666667,450.0476190476191,0.0,49.25
1934.0,1406.0,951.0,1429.0,647.0,3077.0,326.3333333333333,781.0,122.33333333333333,138.33333333333334,0.0,734.3333333333334,651.0,75.0,32.0,33.0,101.0,938.2564102564103,1849458.2485207103,1404.5333333333333,739.2380952380952,0.0,60.25
1546.0,1530.0,938.0,1218.0,726.0,6982.0,1022.0,1188.6666666666667,156.0,186.0,0.0,1035.0,651.0,76.0,57.0,61.0,90.0,1321.4358974358975,7108525.1360946745,2304.6,807.952380952381,0.0,71.0
1284.0,1058.0,1079.0,1249.0,721.0,1658.0,1513.0,1666.3333333333333,209.33333333333334,227.33333333333334,0.0,902.0,738.0,63.0,55.0,76.0,60.0,946.5384615384615,504840.8481262328,1287.2,838.4285714285713,0.0,63.5
1375.0,1550.0,981.0,1474.0,884.0,1138.0,1483.0,1741.0,793.0,1013.0,0.0,909.0,704.0,43.0,50.0,37.0,53.0,1080.3846153846152,405760.72189349105,1177.2,1165.5714285714287,0.0,45.75
1235.0,978.0,803.0,734.0,725.0,766.0,1416.0,1785.0,964.0,1281.0,0.0,806.0,757.0,84.0,40.0,36.0,55.0,942.3076923076924,305679.69230769225,1005.2,1032.0,0.0,53.75
814.0,807.0,687.0,566.0,569.0,942.0,1254.0,1185.0,1210.0,1237.6666666666667,0.0,711.3333333333334,725.0,70.0,30.0,45.0,55.0,823.6923076923076,167200.46942800787,881.6666666666666,899.952380952381,0.0,50.0
809.0,835.0,520.0,588.0,598.0,1098.0,1075.3333333333333,1034.0,1312.0,1278.3333333333333,0.0,529.3333333333334,618.0,53.0,59.0,51.0,58.0,791.923076923077,161895.5818540434,806.3333333333333,894.7619047619047,0.0,55.25
704.0,572.0,660.0,718.0,466.0,958.0,766.0,907.3333333333334,1140.0,1196.0,0.0,589.0,573.0,51.0,56.0,44.0,68.0,711.4871794871796,115144.0828402367,735.4,796.0476190476192,0.0,54.75
625.0,740.0,756.0,589.0,428.0,862.0,708.0,708.3333333333334,1051.3333333333333,1130.3333333333333,0.0,614.0,581.3333333333334,39.0,38.0,50.0,85.0,676.4102564102564,85693.73570019724,713.0,746.9047619047618,0.0,53.0
640.0,591.0,588.0,582.0,528.0,726.0,483.0,644.0,1099.0,851.0,0.0,531.0,573.3333333333334,122.0,104.0,64.0,85.0,602.7948717948718,80070.52071005917,593.6,695.4761904761905,0.0,93.75
585.0,495.0,514.0,568.0,403.0,558.0,560.0,670.6666666666666,949.0,787.0,0.0,474.0,588.0,60.0,40.0,66.0,107.0,550.1282051282052,62274.20118343196,538.2,637.2380952380952,0.0,68.25
491.0,353.0,538.0,446.0,318.0,707.0,547.0,554.3333333333334,863.3333333333334,798.0,0.0,439.0,563.6666666666666,100.0,33.0,72.0,100.0,509.10256410256414,60932.729783037474,544.4,556.6190476190476,0.0,76.25
547.0,404.0,474.0,434.0,359.0,585.0,536.0,529.0,683.3333333333334,760.0,0.0,420.3333333333333,414.0,94.0,62.0,96.0,96.0,472.7435897435898,50363.0966469428,512.4666666666667,511.9047619047619,0.0,87.0
615.0,237.0,414.0,458.0,355.0,580.0,495.0,507.3333333333333,557.0,707.0,0.0,419.0,391.0,98.0,51.0,45.0,88.0,441.1794871794871,50475.17159763313,504.6,458.90476190476187,0.0,70.5
466.0,405.0,412.0,419.0,218.0,515.0,411.0,438.0,539.3333333333334,630.3333333333334,0.0,389.0,449.3333333333333,110.0,49.0,54.0,97.0,407.0769230769231,35170.26035502958,438.6,442.7142857142858,0.0,77.5
363.0,393.0,277.0,387.0,249.0,499.0,341.0,441.0,502.0,568.0,0.0,385.0,573.3333333333334,37.0,44.0,41.0,94.0,382.94871794871796,33028.01183431953,373.0,444.76190476190476,0.0,54.0
330.0,348.0,290.0,543.0,301.0,480.0,350.0,392.3333333333333,513.0,553.0,0.0,380.0,582.0,52.0,24.0,35.0,65.0,389.4102564102564,31855.088757396457,366.0,461.7619047619047,0.0,44.0
375.0,482.0,295.0,404.0,169.0,346.0,380.0,360.3333333333333,499.6666666666667,544.0,0.0,326.0,502.3333333333333,58.0,32.0,67.0,59.0,360.2564102564102,30781.297830374755,344.4,423.0476190476191,0.0,54.0
362.0,419.0,215.0,384.0,192.0,282.0,321.0,331.0,366.3333333333333,456.0,0.0,408.0,316.3333333333333,60.0,40.0,90.0,66.0,311.7435897435898,22808.374753451677,317.6,352.0952380952381,0.0,64.0
295.0,302.0,241.0,278.0,212.0,323.0,262.0,330.3333333333333,300.0,426.0,0.0,296.0,258.0,45.0,41.0,22.0,66.0,271.02564102564105,14249.597633136096,283.4,300.90476190476187,0.0,43.5
207.0,168.0,310.0,212.0,219.0,286.0,254.0,391.0,287.6666666666667,363.3333333333333,0.0,307.0,255.33333333333334,62.0,64.0,34.0,39.0,250.7948717948718,13996.039447731755,272.8,270.90476190476187,0.0,49.75
