S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
66.0,65.0,71.0,63.0,81.0,74.0,102.0,86.0,89.33333333333333,121.0,57.0,71.0,68.33333333333333,109.0,42.0,197.0,83.0,85.03921568627452,3723.5594002306807,89.33333333333333,66.0,79.4
66.1,67.1,72.8,62.1,83.5,72.3,102.3,86.33333333333333,86.63333333333333,121.0,56.63333333333333,71.0,66.63333333333333,108.6,43.1,190.8,79.4,84.49019607843138,3658.2874279123416,88.08181818181818,66.1,80.26666666666667
66.2,69.2,74.6,61.2,86.0,70.6,102.6,86.66666666666667,83.93333333333334,121.0,56.266666666666666,71.0,64.93333333333334,108.2,44.2,184.6,75.8,83.94117647058825,3593.0154555940026,86.83030303030303,66.2,81.13333333333334
66.3,71.3,76.4,60.3,88.5,68.9,102.9,87.0,81.23333333333333,121.0,55.9,71.0,63.233333333333334,107.8,45.3,178.4,72.2,83.3921568627451,3527.7434832756635,85.57878787878788,66.3,82.0
66.4,73.4,78.2,59.4,91.0,67.2,103.2,87.33333333333333,78.53333333333333,121.0,55.53333333333333,71.0,61.53333333333333,107.4,46.4,172.2,68.6,82.84313725490196,3462.4715109573244,84.32727272727273,66.4,82.86666666666667
66.5,75.5,80.0,58.5,93.5,65.5,103.5,87.66666666666666,75.83333333333333,121.0,55.16666666666667,71.0,59.83333333333333,107.0,47.5,166.0,65.0,82.29411764705883,3397.1995386389854,83.07575757575756,66.5,83.73333333333333
66.6,77.6,81.8,57.6,96.0,63.8,103.8,88.0,73.13333333333333,121.0,54.800000000000004,71.0,58.13333333333333,106.6,48.6,159.8,61.4,81.74509803921569,3331.9275663206463,81.82424242424241,66.6,84.6
66.7,79.7,83.6,56.7,98.5,62.1,104.1,88.33333333333333,70.43333333333334,121.0,54.43333333333334,71.0,56.43333333333334,106.2,49.7,153.6,57.8,81.19607843137256,3266.6555940023068,80.57272727272726,66.7,85.46666666666667
66.8,81.8,85.4,55.8,101.0,60.4,104.4,88.66666666666666,67.73333333333333,121.0,54.06666666666667,71.0,54.733333333333334,105.8,50.8,147.4,54.2,80.6470588235294,3201.3836216839677,79.32121212121211,66.8,86.33333333333333
66.9,83.9,87.2,54.9,103.5,58.7,104.7,89.0,65.03333333333333,121.0,53.7,71.0,53.03333333333333,105.4,51.9,141.2,50.6,80.09803921568627,3136.1116493656286,78.06969696969696,66.9,87.2
67.0,86.0,89.0,54.0,106.0,57.0,105.0,89.33333333333333,62.333333333333336,121.0,53.333333333333336,71.0,51.333333333333336,105.0,53.0,135.0,47.0,79.54901960784314,3070.8396770472896,76.81818181818181,67.0,88.06666666666666
73.0,86.2,84.0,52.6,100.2,58.3,105.3,86.69999999999999,62.900000000000006,116.73333333333333,52.800000000000004,71.0,53.0,102.1,55.4,125.3,46.5,78.35490196078432,2924.249596309112,75.27575757575757,73.0,86.2
79.0,86.4,79.0,51.2,94.4,59.6,105.6,84.06666666666666,63.46666666666667,112.46666666666667,52.266666666666666,71.0,54.66666666666667,99.2,57.8,115.6,46.0,77.16078431372549,2777.659515570934,73.73333333333332,79.0,84.33333333333333
85.0,86.6,74.0,49.8,88.6,60.9,105.9,81.43333333333334,64.03333333333333,108.2,51.733333333333334,71.0,56.333333333333336,96.3,60.2,105.9,45.5,75.96666666666667,2631.0694348327565,72.19090909090909,85.0,82.46666666666667
91.0,86.8,69.0,48.4,82.8,62.2,106.2,78.8,64.6,103.93333333333334,51.2,71.0,58.0,93.4,62.6,96.2,45.0,74.77254901960784,2484.4793540945793,70.64848484848484,91.0,80.6
97.0,87.0,64.0,47.0,77.0,63.5,106.5,76.16666666666666,65.16666666666667,99.66666666666666,50.66666666666667,71.0,59.66666666666667,90.5,65.0,86.5,44.5,73.57843137254902,2337.8892733564016,69.1060606060606,97.0,78.73333333333333
103.0,87.2,59.0,45.6,71.2,64.8,106.8,73.53333333333333,65.73333333333333,95.39999999999999,50.13333333333333,71.0,61.333333333333336,87.6,67.4,76.80000000000001,44.0,72.3843137254902,2191.299192618224,67.56363636363636,103.0,76.86666666666667
109.0,87.4,54.0,44.2,65.4,66.1,107.1,70.9,66.3,91.13333333333333,49.6,71.0,63.0,84.7,69.8,67.10000000000001,43.5,71.19019607843137,2044.7091118800463,66.02121212121212,109.0,75.0
115.0,87.6,49.0,42.8,59.6,67.4,107.4,68.26666666666667,66.86666666666667,86.86666666666666,49.06666666666667,71.0,64.66666666666667,81.8,72.2,57.400000000000006,43.0,69.99607843137255,1898.1190311418686,64.47878787878787,115.0,73.13333333333334
121.0,87.8,44.0,41.4,53.800000000000004,68.7,107.7,65.63333333333333,67.43333333333334,82.6,48.53333333333333,71.0,66.33333333333333,78.9,74.6,47.7,42.5,68.80196078431372,1751.528950403691,62.93636363636362,121.0,71.26666666666667
127.0,88.0,39.0,40.0,48.0,70.0,108.0,63.0,68.0,78.33333333333333,48.0,71.0,68.0,76.0,77.0,38.0,42.0,67.6078431372549,1604.9388696655133,61.393939393939384,127.0,69.4
121.9,87.5,40.3,40.3,47.4,72.5,108.2,63.7,67.7,78.6,46.13333333333333,70.3,67.23333333333333,72.7,79.2,41.4,43.0,67.53333333333333,1604.159169550173,61.73333333333332,121.9,69.42
116.8,87.0,41.6,40.6,46.8,75.0,108.4,64.4,67.4,78.86666666666666,44.266666666666666,69.6,66.46666666666667,69.4,81.4,44.8,44.0,67.45882352941176,1603.3794694348328,62.07272727272726,116.8,69.44
111.7,86.5,42.9,40.9,46.2,77.5,108.6,65.1,67.1,79.13333333333333,42.4,68.9,65.7,66.1,83.6,48.2,45.0,67.3843137254902,1602.5997693194927,62.41212121212121,111.7,69.46000000000001
106.6,86.0,44.2,41.2,45.6,80.0,108.8,65.8,66.8,79.39999999999999,40.53333333333333,68.2,64.93333333333334,62.8,85.8,51.6,46.0,67.30980392156863,1601.8200692041523,62.75151515151514,106.6,69.48
101.5,85.5,45.5,41.5,45.0,82.5,109.0,66.5,66.5,79.66666666666666,38.666666666666664,67.5,64.16666666666667,59.5,88.0,55.0,47.0,67.23529411764706,1601.040369088812,63.09090909090908,101.5,69.5
96.4,85.0,46.8,41.8,44.4,85.0,109.2,67.2,66.2,79.93333333333334,36.8,66.8,63.400000000000006,56.2,90.2,58.4,48.0,67.16078431372549,1600.2606689734719,63.43030303030302,96.4,69.52
91.30000000000001,84.5,48.1,42.1,43.8,87.5,109.4,67.9,65.9,80.2,34.93333333333334,66.1,62.63333333333333,52.900000000000006,92.4,61.8,49.0,67.08627450980391,1599.4809688581317,63.769696969696966,91.30000000000001,69.53999999999999
86.2,84.0,49.4,42.4,43.2,90.0,109.6,68.6,65.6,80.46666666666667,33.06666666666666,65.4,61.86666666666667,49.6,94.6,65.2,50.0,67.01176470588236,1598.7012687427914,64.1090909090909,86.2,69.56
81.1,83.5,50.7,42.7,42.6,92.5,109.8,69.3,65.3,80.73333333333333,31.2,64.7,61.1,46.3,96.8,68.6,51.0,66.93725490196078,1597.921568627451,64.44848484848484,81.1,69.58
76.0,83.0,52.0,43.0,42.0,95.0,110.0,70.0,65.0,81.0,29.333333333333332,64.0,60.333333333333336,43.0,99.0,72.0,52.0,66.86274509803921,1597.141868512111,64.78787878787878,76.0,69.6
74.8,80.1,53.6,44.5,42.5,94.4,106.8,70.5,66.1,81.0,29.099999999999998,65.0,60.7,45.3,94.5,70.4,53.0,66.60588235294118,1557.4235294117648,64.82727272727273,74.8,68.88
73.6,77.2,55.2,46.0,43.0,93.8,103.6,71.0,67.2,81.0,28.866666666666667,66.0,61.06666666666667,47.6,90.0,68.8,54.0,66.34901960784313,1517.7051903114188,64.86666666666666,73.6,68.16
72.4,74.3,56.8,47.5,43.5,93.2,100.4,71.5,68.3,81.0,28.633333333333333,67.0,61.43333333333334,49.9,85.5,67.2,55.0,66.0921568627451,1477.986851211073,64.9060606060606,72.4,67.44
71.2,71.4,58.4,49.0,44.0,92.6,97.2,72.0,69.4,81.0,28.4,68.0,61.800000000000004,52.2,81.0,65.6,56.0,65.83529411764705,1438.2685121107268,64.94545454545454,71.2,66.72
70.0,68.5,60.0,50.5,44.5,92.0,94.0,72.5,70.5,81.0,28.166666666666664,69.0,62.16666666666667,54.5,76.5,64.0,57.0,65.57843137254902,1398.5501730103806,64.98484848484848,70.0,66.0
68.8,65.6,61.6,52.0,45.0,91.4,90.8,73.0,71.6,81.0,27.933333333333334,70.0,62.53333333333333,56.8,72.0,62.4,58.0,65.32156862745099,1358.8318339100347,65.02424242424243,68.8,65.28
67.6,62.7,63.2,53.5,45.5,90.8,87.6,73.5,72.7,81.0,27.7,71.0,62.9,59.099999999999994,67.5,60.8,59.0,65.06470588235294,1319.1134948096887,65.06363636363636,67.6,64.56
66.4,59.8,64.8,55.0,46.0,90.2,84.4,74.0,73.8,81.0,27.466666666666665,72.0,63.266666666666666,61.4,63.0,59.2,60.0,64.8078431372549,1279.3951557093426,65.10303030303031,66.4,63.839999999999996
65.2,56.900000000000006,66.4,56.5,46.5,89.6,81.2,74.5,74.9,81.0,27.233333333333334,73.0,63.63333333333333,63.7,58.5,57.6,61.0,64.55098039215686,1239.6768166089964,65.14242424242424,65.2,63.12
64.0,54.0,68.0,58.0,47.0,89.0,78.0,75.0,76.0,81.0,27.0,74.0,64.0,66.0,54.0,56.0,62.0,64.29411764705883,1199.9584775086505,65.18181818181819,64.0,62.4
62.6,55.6,67.4,56.1,48.7,88.2,81.33333333333333,81.03333333333333,75.93333333333334,78.06666666666666,27.833333333333332,69.9,62.4,72.5,53.4,58.6,63.4,64.88235294117648,1342.8371395617069,65.23939393939395,62.6,64.55333333333333
61.2,57.2,66.8,54.2,50.4,87.4,84.66666666666667,87.06666666666666,75.86666666666666,75.13333333333333,28.666666666666668,65.8,60.8,79.0,52.8,61.2,64.8,65.47058823529412,1485.7158016147634,65.2969696969697,61.2,66.70666666666666
59.8,58.8,66.2,52.3,52.1,86.6,88.0,93.1,75.8,72.2,29.5,61.7,59.2,85.5,52.2,63.8,66.2,66.05882352941177,1628.5944636678198,65.35454545454546,59.8,68.86
58.4,60.4,65.6,50.4,53.8,85.8,91.33333333333333,99.13333333333334,75.73333333333333,69.26666666666667,30.333333333333336,57.6,57.6,92.0,51.6,66.4,67.6,66.6470588235294,1771.4731257208764,65.4121212121212,58.4,71.01333333333332
57.0,62.0,65.0,48.5,55.5,85.0,94.66666666666666,105.16666666666667,75.66666666666666,66.33333333333333,31.166666666666668,53.5,56.0,98.5,51.0,69.0,69.0,67.23529411764706,1914.3517877739328,65.46969696969697,57.0,73.16666666666666
55.6,63.6,64.4,46.6,57.2,84.2,98.0,111.2,75.6,63.4,32.0,49.400000000000006,54.4,105.0,50.4,71.6,70.4,67.82352941176471,2057.230449826989,65.52727272727273,55.6,75.32
54.2,65.2,63.8,44.7,58.9,83.4,101.33333333333333,117.23333333333335,75.53333333333333,60.46666666666667,32.833333333333336,45.300000000000004,52.8,111.5,49.8,74.2,71.8,68.41176470588235,2200.1091118800455,65.58484848484848,54.2,77.47333333333333
52.8,66.8,63.2,42.8,60.6,82.6,104.66666666666666,123.26666666666668,75.46666666666667,57.53333333333333,33.66666666666667,41.2,51.2,118.0,49.2,76.8,73.2,69.0,2342.9877739331023,65.64242424242424,52.8,79.62666666666667
51.4,68.4,62.6,40.900000000000006,62.3,81.8,108.0,129.3,75.39999999999999,54.599999999999994,34.5,37.1,49.6,124.5,48.6,79.4,74.6,69.58823529411764,2485.8664359861586,65.69999999999999,51.4,81.77999999999999
50.0,70.0,62.0,39.0,64.0,81.0,111.33333333333333,135.33333333333334,75.33333333333333,51.666666666666664,35.333333333333336,33.0,48.0,131.0,48.0,82.0,76.0,70.17647058823529,2628.745098039215,65.75757575757575,50.0,83.93333333333332
1458.9666666666667,64.3,62.6,41.9,100.9,82.1,109.39999999999999,132.5,73.1,52.199999999999996,35.5,34.0,47.833333333333336,131.1,47.4,81.5,73.3,154.6235294117647,1900488.603690888,65.5121212121212,1458.9666666666667,89.79999999999998
2867.9333333333334,58.6,63.2,44.8,137.8,83.2,107.46666666666667,129.66666666666669,70.86666666666666,52.733333333333334,35.66666666666667,35.0,47.666666666666664,131.2,46.8,81.0,70.6,239.0705882352941,3798348.4622837366,65.26666666666667,2867.9333333333334,95.66666666666666
4276.9,52.9,63.8,47.7,174.7,84.3,105.53333333333333,126.83333333333334,68.63333333333333,53.266666666666666,35.833333333333336,36.0,47.5,131.3,46.2,80.5,67.9,323.51764705882357,5696208.320876585,65.02121212121212,4276.9,101.53333333333333
5685.866666666667,47.2,64.4,50.6,211.6,85.4,103.6,124.0,66.39999999999999,53.8,36.0,37.0,47.333333333333336,131.4,45.6,80.0,65.2,407.964705882353,7594068.179469435,64.77575757575757,5685.866666666667,107.39999999999999
7094.833333333334,41.5,65.0,53.5,248.5,86.5,101.66666666666666,121.16666666666667,64.16666666666666,54.33333333333333,36.16666666666667,38.0,47.16666666666667,131.5,45.0,79.5,62.5,492.4117647058824,9491928.038062284,64.53030303030303,7094.833333333334,113.26666666666665
8503.8,35.8,65.6,56.4,285.4,87.6,99.73333333333333,118.33333333333334,61.93333333333333,54.86666666666667,36.333333333333336,39.0,47.0,131.6,44.4,79.0,59.8,576.8588235294118,11389787.896655131,64.28484848484848,8503.8,119.13333333333333
9912.766666666666,30.1,66.2,59.3,322.3,88.7,97.8,115.5,59.699999999999996,55.4,36.5,40.0,46.833333333333336,131.7,43.8,78.5,57.099999999999994,661.3058823529411,13287647.75524798,64.03939393939393,9912.766666666666,125.0
11321.733333333334,24.4,66.8,62.2,359.2,89.8,95.86666666666666,112.66666666666667,57.46666666666667,55.93333333333333,36.666666666666664,41.0,46.66666666666667,131.8,43.2,78.0,54.4,745.7529411764706,15185507.61384083,63.79393939393939,11321.733333333334,130.86666666666667
12730.7,18.699999999999996,67.4,65.1,396.09999999999997,90.9,93.93333333333334,109.83333333333333,55.233333333333334,56.46666666666667,36.833333333333336,42.0,46.5,131.9,42.6,77.5,51.7,830.2,17083367.47243368,63.54848484848484,12730.7,136.73333333333332
14139.666666666666,13.0,68.0,68.0,433.0,92.0,92.0,107.0,53.0,57.0,37.0,43.0,46.333333333333336,132.0,42.0,77.0,49.0,914.6470588235294,18981227.331026528,63.3030303030303,14139.666666666666,142.6
14715.366666666667,15.6,71.8,97.6,396.1,89.1,89.4,101.73333333333333,53.1,57.0,37.03333333333333,42.6,47.233333333333334,124.8,41.3,72.5,50.7,947.2333333333333,21024844.743252594,62.46969696969696,14715.366666666667,140.08666666666667
15291.066666666666,18.2,75.6,127.2,359.2,86.2,86.8,96.46666666666667,53.2,57.0,37.06666666666667,42.2,48.13333333333333,117.6,40.6,68.0,52.4,979.8196078431373,23068462.155478664,61.63636363636363,15291.066666666666,137.57333333333332
15866.766666666666,20.8,79.4,156.8,322.3,83.3,84.2,91.2,53.3,57.0,37.1,41.8,49.03333333333334,110.4,39.9,63.5,54.1,1012.4058823529413,25112079.56770473,60.8030303030303,15866.766666666666,135.06
16442.466666666667,23.4,83.2,186.4,285.4,80.4,81.6,85.93333333333334,53.4,57.0,37.13333333333333,41.4,49.93333333333334,103.2,39.2,59.0,55.8,1044.992156862745,27155696.979930796,59.96969696969697,16442.466666666667,132.54666666666665
17018.166666666668,26.0,87.0,216.0,248.5,77.5,79.0,80.66666666666667,53.5,57.0,37.16666666666667,41.0,50.833333333333336,96.0,38.5,54.5,57.5,1077.5784313725492,29199314.39215686,59.13636363636363,17018.166666666668,130.03333333333333
17593.86666666667,28.6,90.8,245.60000000000002,211.60000000000002,74.6,76.4,75.4,53.6,57.0,37.2,40.6,51.733333333333334,88.8,37.8,50.0,59.2,1110.164705882353,31242931.80438293,58.3030303030303,17593.86666666667,127.52
18169.566666666666,31.2,94.6,275.20000000000005,174.7,71.7,73.8,70.13333333333333,53.7,57.0,37.233333333333334,40.2,52.63333333333333,81.6,37.1,45.5,60.9,1142.750980392157,33286549.216608997,57.46969696969697,18169.566666666666,125.00666666666666
18745.266666666666,33.8,98.4,304.8,137.8,68.8,71.2,64.86666666666667,53.8,57.0,37.266666666666666,39.8,53.53333333333334,74.4,36.4,41.0,62.6,1175.337254901961,35330166.62883507,56.63636363636363,18745.266666666666,122.49333333333334
19320.966666666667,36.400000000000006,102.19999999999999,334.40000000000003,100.90000000000003,65.9,68.6,59.6,53.9,57.0,37.300000000000004,39.4,54.43333333333334,67.2,35.7,36.5,64.3,1207.9235294117648,37373784.04106113,55.803030303030305,19320.966666666667,119.98
19896.666666666668,39.0,106.0,364.0,64.0,63.0,66.0,54.333333333333336,54.0,57.0,37.333333333333336,39.0,55.333333333333336,60.0,35.0,32.0,66.0,1240.5098039215688,39417401.4532872,54.96969696969697,19896.666666666668,117.46666666666667
18389.7,43.1,106.2,393.1,81.0,67.4,66.0,51.5,54.1,58.36666666666667,37.6,39.333333333333336,54.900000000000006,60.5,35.7,33.3,62.9,1154.9823529411767,35674579.745328724,55.481818181818184,18389.7,126.94
