S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
36,27,156,93,90,72,90,39,126,18,0,129,45,93,39,48,48,70.84615384615384,2117.8224852071003,64.5,86.25,63.857142857142854,70.5,43.5
117,63,153,147,93,21,99,90,126,18,0,36,45,84,18,102,120,77.53846153846153,2386.863905325444,132.0,82.5,59.142857142857146,93.0,69.0
141,126,114,60,18,81,90,153,99,49,0,81,67,93,51,72,195,83.0,1880.1538461538462,100.5,84.75,77.0,82.5,123.0
93,81,27,102,66,81,72,153,39,60,0,108,99,105,42,30,174,75.46153846153847,1416.2485207100592,97.5,63.75,75.85714285714286,67.5,108.0
72,18,84,162,87,51,108,91,39,60,60,108,99,42,9,51,84,79.92307692307692,1236.07100591716,117.0,60.0,80.71428571428571,46.5,46.5
111,57,162,198,93,72,108,93,33,66,165,90,63,30,30,48,36,100.84615384615384,2130.2840236686393,154.5,96.0,88.28571428571429,39.0,33.0
99,138,93,195,93,93,94,93,18,21,0,135,45,60,57,60,57,85.92307692307692,2718.532544378698,147.0,104.25,58.0,60.0,57.0
90,117,45,60,57,60,147,112,18,21,0,54,45,102,102,42,57,63.53846153846154,1664.5562130177516,75.0,69.75,56.714285714285715,72.0,79.5
198,159,39,1512,225,1362,90,192,27,42,0,36,58,48,114,33,138,303.0769230769231,239677.9171597633,855.0,446.25,63.57142857142857,40.5,126.0
462,138,177,486,465,528,144,192,21,54,0,207,231,51,69,18,99,238.84615384615384,31582.437869822483,474.0,327.0,121.28571428571429,34.5,84.0
750,198,441,864,897,390,180,297,21,54,0,207,231,0,138,60,120,348.46153846153845,87771.94082840235,807.0,481.5,141.42857142857142,30.0,129.0
1293,714,1146,1764,798,372,180,738,81,91,0,463,475,63,99,18,129,624.2307692307693,257545.56213017754,1528.5,757.5,289.7142857142857,40.5,114.0
2046,1326,1017,2997,1236,402,418,738,96,93,0,528,669,132,27,18,141,889.6923076923077,678722.0591715977,2521.5,995.25,363.14285714285717,75.0,84.0
1410,1170,762,1563,1386,282,1857,2221,96,93,0,684,669,87,45,42,99,937.9230769230769,481508.3786982248,1486.5,900.0,802.8571428571429,64.5,72.0
1059,726,684,1029,1500,330,1740,2865,232,91,0,426,654,51,48,54,39,872.0,581252.6153846154,1044.0,810.0,858.2857142857143,52.5,43.5
1146,1974,795,936,1272,798,1950,2865,1641,366,0,654,756,48,27,30,72,1165.6153846153845,549780.3905325443,1041.0,1209.75,1176.0,39.0,49.5
990,918,510,630,738,702,1674,2352,1641,366,0,654,756,81,39,27,39,917.7692307692307,363664.3313609467,810.0,717.0,1063.2857142857142,54.0,39.0
561,777,399,513,579,1170,1674,1164,1506,730,0,550,639,51,54,45,57,789.3846153846154,201017.31360946744,537.0,731.25,894.7142857142857,48.0,55.5
711,657,408,489,819,1062,1308,1164,840,1578,0,378,414,45,9,18,45,756.0,175932.0,600.0,736.5,811.7142857142857,31.5,27.0
600,489,756,474,558,1074,699,982,840,1578,0,435,414,18,30,0,45,684.5384615384615,136745.78698224854,537.0,719.25,706.8571428571429,9.0,37.5
519,609,558,405,570,798,810,792,928,1197,0,507,406,18,57,48,48,623.0,79300.0,462.0,633.75,662.8571428571429,33.0,52.5
441,549,306,465,531,654,630,792,975,579,0,363,309,21,66,48,66,507.2307692307692,54463.10059171597,453.0,510.0,521.1428571428571,34.5,66.0
486,534,462,531,357,414,471,637,975,579,0,363,309,30,60,9,141,470.61538461538464,44392.54437869822,508.5,441.75,476.2857142857143,19.5,100.5
465,342,492,543,399,570,471,348,1054,657,0,288,313,84,0,51,153,457.0769230769231,54205.76331360947,504.0,450.75,447.2857142857143,67.5,76.5
507,261,357,291,501,444,498,348,915,423,0,291,246,54,27,84,138,390.9230769230769,40709.60946745563,399.0,390.75,388.7142857142857,69.0,82.5
810,213,357,186,333,456,426,433,915,423,0,291,246,144,36,27,141,391.46153846153845,55423.63313609466,498.0,339.75,390.57142857142856,85.5,88.5
624,534,357,249,114,618,339,297,772,475,0,234,361,186,36,75,123,382.61538461538464,43506.85207100592,436.5,405.75,354.0,130.5,79.5
324,321,306,165,264,594,312,297,462,573,0,315,546,51,39,45,111,344.53846153846155,25606.863905325445,244.5,371.25,357.85714285714283,48.0,75.0
342,282,213,366,423,486,300,297,462,573,0,315,546,72,21,57,57,354.2307692307692,21309.86982248521,354.0,351.0,356.14285714285717,64.5,39.0
342,834,261,366,219,369,300,234,478,483,0,264,487,30,30,72,60,356.6923076923077,35240.82840236687,354.0,420.75,320.85714285714283,51.0,45.0
261,573,228,342,177,243,240,234,366,399,0,225,288,30,63,72,99,275.0769230769231,16244.84023668639,301.5,305.25,250.28571428571428,51.0,81.0
261,267,339,312,366,252,135,354,366,399,0,159,288,30,42,18,78,269.0769230769231,11755.917159763316,286.5,306.0,243.0,24.0,60.0
201,186,318,234,441,192,126,474,301,370,0,300,246,39,51,30,66,260.6923076923077,15177.289940828403,217.5,284.25,259.57142857142856,34.5,58.5
204,279,264,120,186,300,291,474,684,282,0,237,216,42,69,39,132,272.0769230769231,25028.840236686396,162.0,257.25,312.0,40.5,100.5
183,225,258,150,138,384,354,297,684,282,0,237,216,21,108,60,132,262.15384615384613,23845.207100591717,166.5,251.25,295.7142857142857,40.5,120.0
255,111,285,171,183,312,354,135,1030,289,0,169,253,30,144,39,57,272.84615384615387,56260.89940828402,213.0,222.75,318.57142857142856,34.5,100.5
348,243,207,135,135,189,370,135,924,411,0,219,135,39,138,63,51,265.46153846153845,47928.71005917159,241.5,193.5,313.42857142857144,51.0,94.5
372,252,237,123,177,168,408,142,924,411,0,117,135,39,87,105,48,266.61538461538464,49991.46745562131,247.5,208.5,305.2857142857143,72.0,67.5
444,225,222,117,159,180,144,180,642,273,0,177,139,39,114,72,153,223.23076923076923,23929.100591715975,280.5,196.5,222.14285714285714,55.5,133.5
273,318,168,150,78,126,180,180,525,234,0,138,126,39,138,75,93,192.0,15323.538461538463,211.5,172.5,197.57142857142858,57.0,115.5
93,126,174,81,123,105,318,163,525,234,0,138,126,78,114,105,63,169.69230769230768,15859.136094674554,87.0,132.0,214.85714285714286,91.5,88.5
132,129,177,27,159,210,318,162,463,193,0,159,123,66,111,117,60,173.23076923076923,12675.715976331363,79.5,168.75,202.57142857142858,91.5,85.5
84,168,180,18,132,129,258,162,114,123,0,144,165,51,66,105,78,129.0,4202.307692307692,51.0,152.25,138.0,78.0,72.0
138,123,177,27,105,63,144,178,114,123,0,117,165,39,39,102,120,113.38461538461539,2735.005917159764,82.5,117.0,120.14285714285714,70.5,79.5
