S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
53.0,48.0,120.0,79.0,66.0,76.0,82.33333333333333,86.0,104.0,56.333333333333336,0.0,99.33333333333333,76.33333333333333,78.0,36.0,50.0,148.0,74.01960784313725,2667.700115340254,64.72222222222221,76.0,79.4
57.9,48.8,118.3,82.8,67.5,73.0,83.39999999999999,86.7,104.7,57.2,0.0,94.89999999999999,75.89999999999999,75.2,33.9,51.5,145.8,73.97058823529412,2589.6539792387543,63.71666666666666,73.0,80.22
62.8,49.6,116.6,86.6,69.0,70.0,84.46666666666667,87.4,105.4,58.06666666666667,0.0,90.46666666666667,75.46666666666667,72.4,31.8,53.0,143.6,73.92156862745098,2511.6078431372553,62.7111111111111,70.0,81.04
67.7,50.4,114.9,90.4,70.5,67.0,85.53333333333333,88.1,106.1,58.93333333333334,0.0,86.03333333333333,75.03333333333333,69.6,29.7,54.5,141.4,73.87254901960785,2433.5617070357557,61.70555555555555,67.0,81.86
72.6,51.2,113.2,94.2,72.0,64.0,86.6,88.8,106.8,59.800000000000004,0.0,81.6,74.6,66.8,27.6,56.0,139.2,73.82352941176471,2355.515570934256,60.699999999999996,64.0,82.68
77.5,52.0,111.5,98.0,73.5,61.0,87.66666666666666,89.5,107.5,60.66666666666667,0.0,77.16666666666666,74.16666666666666,64.0,25.5,57.5,137.0,73.77450980392157,2277.4694348327566,59.69444444444444,61.0,83.5
82.4,52.8,109.8,101.8,75.0,58.0,88.73333333333333,90.2,108.2,61.53333333333333,0.0,72.73333333333333,73.73333333333333,61.2,23.4,59.0,134.8,73.72549019607844,2199.423298731257,58.68888888888888,58.0,84.32
87.30000000000001,53.6,108.1,105.6,76.5,55.0,89.8,90.9,108.9,62.4,0.0,68.3,73.3,58.400000000000006,21.299999999999997,60.5,132.6,73.6764705882353,2121.377162629758,57.68333333333333,55.0,85.14
92.2,54.4,106.4,109.4,78.0,52.0,90.86666666666666,91.6,109.6,63.266666666666666,0.0,63.86666666666667,72.86666666666666,55.6,19.2,62.0,130.4,73.62745098039217,2043.3310265282585,56.67777777777778,52.0,85.96
97.1,55.2,104.7,113.19999999999999,79.5,49.0,91.93333333333334,92.3,110.3,64.13333333333334,0.0,59.43333333333334,72.43333333333334,52.8,17.099999999999998,63.5,128.2,73.57843137254903,1965.284890426759,55.67222222222222,49.0,86.78
102.0,56.0,103.0,117.0,81.0,46.0,93.0,93.0,111.0,65.0,0.0,55.0,72.0,50.0,15.0,65.0,126.0,73.5294117647059,1887.2387543252596,54.666666666666664,46.0,87.6
105.9,58.1,100.9,112.7,75.5,48.0,89.4,92.03333333333333,109.63333333333333,67.36666666666667,0.0,55.2,72.56666666666666,50.4,17.0,65.6,128.5,73.45882352941177,1882.973471741638,55.67777777777778,48.0,86.67333333333333
109.8,60.2,98.8,108.4,70.0,50.0,85.8,91.06666666666666,108.26666666666667,69.73333333333333,0.0,55.4,73.13333333333334,50.8,19.0,66.2,131.0,73.38823529411766,1878.7081891580162,56.68888888888889,50.0,85.74666666666667
113.7,62.3,96.7,104.1,64.5,52.0,82.2,90.1,106.9,72.1,0.0,55.6,73.7,51.2,21.0,66.8,133.5,73.31764705882354,1874.4429065743943,57.7,52.0,84.82
117.6,64.4,94.6,99.8,59.0,54.0,78.6,89.13333333333333,105.53333333333333,74.46666666666667,0.0,55.8,74.26666666666667,51.6,23.0,67.4,136.0,73.24705882352941,1870.1776239907726,58.711111111111116,54.0,83.89333333333333
121.5,66.5,92.5,95.5,53.5,56.0,75.0,88.16666666666666,104.16666666666666,76.83333333333334,0.0,56.0,74.83333333333334,52.0,25.0,68.0,138.5,73.1764705882353,1865.912341407151,59.72222222222223,56.0,82.96666666666667
125.4,68.6,90.4,91.2,48.0,58.0,71.4,87.2,102.8,79.2,0.0,56.2,75.4,52.4,27.0,68.6,141.0,73.10588235294118,1861.6470588235293,60.733333333333334,58.0,82.04
129.3,70.7,88.3,86.9,42.5,60.0,67.8,86.23333333333333,101.43333333333334,81.56666666666666,0.0,56.4,75.96666666666667,52.8,29.0,69.2,143.5,73.03529411764706,1857.3817762399076,61.74444444444445,60.0,81.11333333333334
133.2,72.8,86.2,82.6,37.0,62.0,64.2,85.26666666666667,100.06666666666666,83.93333333333334,0.0,56.6,76.53333333333333,53.2,31.0,69.8,146.0,72.96470588235293,1853.1164936562857,62.75555555555556,62.0,80.18666666666667
137.1,74.9,84.1,78.30000000000001,31.5,64.0,60.6,84.3,98.69999999999999,86.30000000000001,0.0,56.8,77.10000000000001,53.6,33.0,70.4,148.5,72.89411764705882,1848.851211072664,63.76666666666667,64.0,79.26
141.0,77.0,82.0,74.0,26.0,66.0,57.0,83.33333333333333,97.33333333333333,88.66666666666667,0.0,57.0,77.66666666666667,54.0,35.0,71.0,151.0,72.8235294117647,1844.5859284890423,64.77777777777779,66.0,78.33333333333334
135.3,76.3,79.6,76.1,26.2,70.8,57.3,81.69999999999999,95.19999999999999,87.0,0.0,59.4,84.03333333333333,54.4,37.1,68.7,144.9,72.59019607843136,1881.821914648212,64.85555555555557,70.8,77.41000000000001
129.6,75.6,77.2,78.2,26.4,75.6,57.6,80.06666666666666,93.06666666666666,85.33333333333334,0.0,61.8,90.4,54.8,39.2,66.4,138.8,72.35686274509803,1919.0579008073814,64.93333333333334,75.6,76.48666666666668
123.9,74.9,74.8,80.3,26.6,80.4,57.9,78.43333333333334,90.93333333333334,83.66666666666667,0.0,64.2,96.76666666666668,55.2,41.3,64.1,132.7,72.12352941176471,1956.2938869665509,65.01111111111112,80.4,75.56333333333333
118.2,74.2,72.4,82.4,26.8,85.2,58.2,76.8,88.8,82.0,0.0,66.6,103.13333333333334,55.6,43.4,61.8,126.6,71.89019607843137,1993.5298731257205,65.08888888888889,85.2,74.64
112.5,73.5,70.0,84.5,27.0,90.0,58.5,75.16666666666666,86.66666666666666,80.33333333333334,0.0,69.0,109.5,56.0,45.5,59.5,120.5,71.65686274509804,2030.7658592848902,65.16666666666667,90.0,73.71666666666667
106.8,72.8,67.6,86.6,27.2,94.8,58.8,73.53333333333333,84.53333333333333,78.66666666666667,0.0,71.4,115.86666666666667,56.4,47.6,57.2,114.4,71.4235294117647,2068.0018454440597,65.24444444444445,94.8,72.79333333333334
101.1,72.1,65.2,88.7,27.4,99.6,59.1,71.9,82.4,77.0,0.0,73.8,122.23333333333335,56.8,49.7,54.900000000000006,108.30000000000001,71.19019607843137,2105.237831603229,65.32222222222222,99.6,71.87
95.4,71.4,62.8,90.8,27.6,104.4,59.4,70.26666666666667,80.26666666666667,75.33333333333333,0.0,76.2,128.60000000000002,57.2,51.8,52.6,102.2,70.95686274509805,2142.4738177623985,65.4,104.4,70.94666666666666
89.69999999999999,70.7,60.400000000000006,92.9,27.8,109.19999999999999,59.7,68.63333333333333,78.13333333333333,73.66666666666667,0.0,78.6,134.96666666666667,57.6,53.900000000000006,50.3,96.1,70.72352941176472,2179.7098039215684,65.47777777777777,109.19999999999999,70.02333333333333
84.0,70.0,58.0,95.0,28.0,114.0,60.0,67.0,76.0,72.0,0.0,81.0,141.33333333333334,58.0,56.0,48.0,90.0,70.49019607843138,2216.945790080738,65.55555555555556,114.0,69.1
84.7,68.0,60.0,94.5,30.9,106.5,63.3,65.93333333333334,75.0,70.4,2.0,82.9,140.9,55.6,58.1,47.7,88.8,70.3078431372549,2171.0302191464816,65.51666666666667,106.5,69.56333333333333
85.4,66.0,62.0,94.0,33.8,99.0,66.6,64.86666666666667,74.0,68.8,4.0,84.8,140.46666666666667,53.2,60.2,47.4,87.6,70.12549019607845,2125.114648212226,65.47777777777777,99.0,70.02666666666666
