S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
0,30,9,0,9,21,9,9,21,21,31,27,0,30,18,33,21,14.384615384615385,119.00591715976334,0.0,17.25,16.857142857142858,31.5,19.5
9,0,27,9,0,54,0,9,21,21,0,27,0,0,9,0,0,13.615384615384615,237.621301775148,9.0,20.25,11.142857142857142,0.0,4.5
0,21,27,9,0,33,0,9,15,10,0,13,9,21,30,0,0,11.23076923076923,104.33136094674553,4.5,20.25,8.0,10.5,15.0
0,21,18,63,0,18,0,9,33,21,0,66,9,0,51,0,0,19.846153846153847,460.43786982248525,31.5,14.25,19.714285714285715,0.0,25.5
0,81,9,42,0,27,0,4,33,21,9,66,9,0,30,0,9,23.153846153846153,633.0532544378699,21.0,29.25,20.285714285714285,0.0,19.5
9,81,39,9,18,9,18,30,16,15,18,0,4,0,45,0,0,20.46153846153846,403.940828402367,9.0,36.75,14.428571428571429,0.0,22.5
18,0,30,0,9,0,27,30,0,0,9,0,0,0,63,0,9,9.461538461538462,142.40236686390534,9.0,9.75,9.428571428571429,0.0,36.0
9,0,18,9,9,9,0,19,0,0,0,0,0,18,9,9,9,5.615384615384615,46.082840236686394,9.0,9.0,2.7142857142857144,13.5,9.0
0,9,18,9,9,219,0,9,9,15,0,0,0,18,30,9,30,22.846153846153847,3240.7455621301774,4.5,63.75,4.714285714285714,13.5,30.0
9,0,123,9,0,546,4,9,315,108,0,63,9,9,18,9,21,91.92307692307692,24507.30177514793,9.0,167.25,72.57142857142857,9.0,19.5
135,0,123,156,18,1578,45,19,315,108,678,159,9,0,18,48,9,257.15384615384613,175904.1301775148,145.5,429.75,190.42857142857142,24.0,13.5
237,21,48,174,114,1926,99,144,406,175,1356,396,316,0,18,81,18,416.3076923076923,298462.36686390534,205.5,527.25,413.14285714285717,40.5,18.0
213,114,135,663,165,1410,285,144,1011,576,837,936,420,9,0,279,0,531.4615384615385,159118.40236686388,438.0,456.0,601.2857142857143,144.0,0.0
411,300,381,1476,288,1770,171,163,1011,576,318,936,420,72,0,573,30,632.3846153846154,243307.3136094675,943.5,684.75,513.5714285714286,322.5,15.0
432,528,495,1602,1428,2286,171,330,1515,1390,439,1255,745,270,9,195,54,970.4615384615385,383593.17159763316,1017.0,1184.25,835.0,232.5,31.5
507,798,576,924,735,1854,264,330,1899,1377,561,1290,987,198,75,69,222,930.9230769230769,263448.5325443787,715.5,990.75,958.2857142857143,133.5,148.5
885,1026,585,825,1161,954,513,528,1899,1377,519,1185,987,51,42,240,219,957.2307692307693,145926.63905325445,855.0,931.5,1001.1428571428571,145.5,130.5
840,1314,441,828,1215,810,921,804,1431,1185,477,1056,823,114,9,195,183,934.2307692307693,81922.33136094676,834.0,945.0,956.7142857142857,154.5,96.0
642,1002,702,801,1029,834,744,804,969,999,642,996,672,150,9,291,111,833.5384615384615,20417.325443786984,721.5,891.75,832.2857142857143,220.5,60.0
603,774,861,894,849,1170,537,661,969,999,807,996,672,198,0,537,174,830.1538461538462,30078.745562130174,748.5,913.5,805.8571428571429,367.5,87.0
