S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
0,0,0,0,30,0,9,0,15,4,0,4,4,18,60,0,30,5.076923076923077,70.6863905325444,0.0,7.5,5.142857142857143,9.0,45.0
0,9,0,0,0,0,13,0,9,0,0,9,258,0,87,0,21,22.923076923076923,4626.532544378698,0.0,2.25,41.285714285714285,0.0,54.0
0,0,9,0,0,0,18,0,9,0,0,0,258,0,63,0,51,22.615384615384617,4646.236686390534,0.0,2.25,40.714285714285715,0.0,57.0
0,0,9,0,0,0,75,9,4,4,0,0,133,0,48,9,51,18.0,1484.3076923076924,0.0,2.25,32.142857142857146,4.5,49.5
0,9,0,0,0,0,75,9,0,9,0,0,0,0,51,9,42,7.846153846153846,389.82248520710067,0.0,2.25,13.285714285714286,4.5,46.5
0,0,0,0,0,0,0,4,0,9,0,0,0,0,81,0,72,1.0,6.461538461538462,0.0,0.0,1.8571428571428572,0.0,76.5
0,0,60,0,0,18,0,0,0,4,0,0,4,0,48,0,51,6.615384615384615,260.5443786982249,0.0,19.5,1.1428571428571428,0.0,49.5
0,0,78,9,207,966,4,0,87,87,0,27,36,0,60,0,0,115.46153846153847,63541.63313609468,4.5,312.75,34.42857142857143,0.0,30.0
42,0,249,744,174,1746,9,25,87,87,0,111,36,0,51,0,51,254.6153846153846,221752.08284023663,393.0,542.25,50.714285714285715,0.0,51.0
324,21,306,210,342,2130,27,258,718,429,0,246,168,0,51,0,30,398.38461538461536,283798.5443786982,267.0,699.75,263.7142857142857,0.0,40.5
462,153,882,168,531,2514,54,258,1491,531,0,717,363,0,30,0,216,624.9230769230769,445281.76331360947,315.0,1020.0,487.7142857142857,0.0,123.0
333,108,888,276,912,1974,72,162,1491,531,0,717,363,0,18,9,177,602.0769230769231,321966.5325443788,304.5,970.5,476.57142857142856,4.5,97.5
597,438,1038,1062,1038,1506,72,264,1566,754,0,733,673,0,48,0,309,749.3076923076923,221998.82840236693,829.5,1005.0,580.2857142857143,0.0,178.5
693,666,789,696,1083,1338,232,264,1065,852,0,1083,678,9,39,18,369,726.0769230769231,135127.45562130178,694.5,969.0,596.2857142857143,13.5,204.0
855,942,819,699,1353,1110,801,541,1065,852,0,1095,678,9,72,18,174,831.5384615384615,100357.63313609468,777.0,1056.0,718.8571428571429,13.5,123.0
735,486,1215,1101,1092,882,609,558,961,801,0,771,601,0,51,0,150,754.7692307692307,94803.71597633135,918.0,918.75,614.4285714285714,0.0,100.5
573,1245,1089,960,756,1086,657,558,714,1164,0,996,675,9,9,72,219,805.6153846153846,104226.39053254439,766.5,1044.0,680.5714285714286,40.5,114.0
786,630,870,1002,903,1146,639,672,714,1164,0,996,675,45,39,27,315,784.3846153846154,82937.92899408283,894.0,887.25,694.2857142857143,36.0,177.0
606,606,966,909,579,657,639,795,958,933,0,895,756,54,123,39,117,715.3076923076923,62331.751479289946,757.5,702.0,710.8571428571429,46.5,120.0
663,666,768,696,651,645,766,795,843,495,0,699,990,18,78,108,90,667.4615384615385,49906.4023668639,679.5,682.5,655.4285714285714,63.0,84.0
747,513,477,627,819,534,687,766,843,495,0,468,990,9,18,90,153,612.7692307692307,56150.4852071006,687.0,585.75,607.0,49.5,85.5
552,510,477,789,504,354,798,654,675,516,0,366,691,78,21,93,252,529.6923076923077,41889.44378698225,670.5,461.25,528.5714285714286,85.5,136.5
426,954,351,1011,327,306,543,654,462,339,0,513,0,87,120,105,144,452.7692307692308,83582.94674556213,718.5,484.5,358.7142857142857,96.0,132.0
657,510,519,705,309,228,486,570,462,339,0,513,0,9,117,72,144,407.53846153846155,46083.940828402374,681.0,391.5,338.57142857142856,40.5,130.5
666,561,483,417,480,219,486,570,363,318,0,505,0,63,60,48,261,389.84615384615387,39776.13017751479,541.5,435.75,320.2857142857143,55.5,160.5
399,570,324,372,411,384,391,570,303,288,0,369,0,63,30,135,129,337.0,27395.076923076926,385.5,422.25,274.42857142857144,99.0,79.5
279,510,204,345,483,357,444,480,303,288,0,285,0,0,111,18,174,306.0,25043.538461538465,312.0,388.5,257.14285714285717,9.0,142.5
309,393,225,246,351,273,399,423,283,234,0,249,0,9,108,9,156,260.38461538461536,16336.544378698227,277.5,310.5,226.85714285714286,9.0,132.0
351,678,273,318,309,138,255,423,276,135,0,291,0,51,60,51,69,265.15384615384613,29393.360946745568,334.5,349.5,197.14285714285714,51.0,64.5
285,441,366,240,324,129,207,382,276,135,0,291,0,30,48,51,60,236.6153846153846,17608.082840236686,262.5,315.0,184.42857142857142,40.5,54.0
141,273,180,90,192,111,207,351,247,108,0,225,0,27,60,63,126,163.46153846153845,9699.01775147929,115.5,189.0,162.57142857142858,45.0,93.0
