S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
30.75,17.25,18.75,22.5,26.25,4.5,22.5,18.75,12.0,22.5,18.25,9.0,6.75,0.0,74.25,2.25,54.0,21.191176470588236,929.7906574394464,19.075,13.0,32.625
29.175,17.625,17.55,22.725,27.45,5.325,21.15,18.525,11.775,22.875,17.475,8.875,6.075,0.525,71.85,6.075,53.1,21.06764705882353,901.1494809688581,18.662499999999998,13.325,32.8875
27.6,18.0,16.35,22.95,28.65,6.15,19.8,18.3,11.55,23.25,16.7,8.75,5.4,1.05,69.45,9.9,52.2,20.944117647058825,872.5083044982699,18.25,13.65,33.15
26.025,18.375,15.15,23.175,29.85,6.975,18.45,18.075,11.325,23.625,15.925,8.625,4.725,1.5750000000000002,67.05,13.725000000000001,51.3,20.820588235294117,843.8671280276817,17.8375,13.975,33.4125
24.45,18.75,13.95,23.4,31.05,7.8,17.1,17.85,11.1,24.0,15.15,8.5,4.05,2.1,64.65,17.55,50.4,20.69705882352941,815.2259515570935,17.425,14.3,33.675
22.875,19.125,12.75,23.625,32.25,8.625,15.75,17.625,10.875,24.375,14.375,8.375,3.375,2.625,62.25,21.375,49.5,20.573529411764703,786.5847750865053,17.0125,14.625,33.9375
21.3,19.5,11.55,23.85,33.45,9.45,14.399999999999999,17.4,10.65,24.75,13.6,8.25,2.6999999999999993,3.1500000000000004,59.85,25.200000000000003,48.6,20.45,757.9435986159169,16.6,14.95,34.2
19.725,19.875,10.35,24.075,34.65,10.274999999999999,13.049999999999999,17.175,10.425,25.125,12.825,8.125,2.0249999999999995,3.6750000000000003,57.45,29.025000000000002,47.7,20.326470588235292,729.3024221453287,16.1875,15.275,34.4625
18.15,20.25,9.15,24.3,35.85,11.1,11.7,16.95,10.2,25.5,12.05,8.0,1.3499999999999996,4.2,55.05,32.85,46.8,20.202941176470585,700.6612456747405,15.774999999999999,15.6,34.725
16.575000000000003,20.625,7.950000000000001,24.525,37.05,11.925,10.35,16.725,9.975,25.875,11.274999999999999,7.875,0.6749999999999998,4.7250000000000005,52.650000000000006,36.675000000000004,45.9,20.07941176470588,672.0200692041523,15.362499999999999,15.925,34.9875
15.0,21.0,6.75,24.75,38.25,12.75,9.0,16.5,9.75,26.25,10.5,7.75,0.0,5.25,50.25,40.5,45.0,19.955882352941174,643.378892733564,14.95,16.25,35.25
13.95,20.4,7.725,22.725,35.925,13.65,11.1,16.275,9.575,26.275,9.975,8.325,0.0,5.475,49.725,41.025,44.325,19.791176470588233,655.327508650519,14.639999999999999,16.5,35.1375
12.9,19.8,8.7,20.7,33.6,14.55,13.2,16.05,9.4,26.3,9.45,8.9,0.0,5.7,49.2,41.55,43.65,19.626470588235293,667.2761245674741,14.33,16.75,35.025
11.85,19.2,9.675,18.675,31.275,15.45,15.3,15.825,9.225,26.325,8.925,9.475,0.0,5.925,48.675,42.075,42.975,19.461764705882352,679.224740484429,14.02,17.0,34.9125
10.8,18.6,10.65,16.65,28.95,16.35,17.4,15.6,9.05,26.35,8.4,10.05,0.0,6.15,48.15,42.6,42.3,19.29705882352941,691.1733564013841,13.709999999999999,17.25,34.8
9.75,18.0,11.625,14.625,26.625,17.25,19.5,15.375,8.875,26.375,7.875,10.625,0.0,6.375,47.625,43.125,41.625,19.13235294117647,703.1219723183391,13.399999999999999,17.5,34.6875
8.7,17.4,12.6,12.600000000000001,24.299999999999997,18.15,21.6,15.15,8.7,26.4,7.35,11.2,0.0,6.6,47.1,43.65,40.95,18.967647058823527,715.070588235294,13.09,17.75,34.575
7.6499999999999995,16.8,13.575,10.575000000000001,21.974999999999998,19.05,23.700000000000003,14.925,8.525,26.425,6.824999999999999,11.774999999999999,0.0,6.825,46.575,44.175,40.275,18.802941176470586,727.0192041522491,12.78,18.0,34.4625
6.6,16.2,14.55,8.55,19.65,19.95,25.8,14.7,8.35,26.45,6.3,12.35,0.0,7.05,46.05,44.7,39.6,18.638235294117646,738.9678200692041,12.469999999999999,18.25,34.35
5.549999999999999,15.600000000000001,15.525,6.525000000000002,17.325,20.85,27.900000000000002,14.475,8.175,26.475,5.7749999999999995,12.925,0.0,7.275,45.525,45.225,38.925,18.473529411764705,750.9164359861592,12.16,18.5,34.2375
4.5,15.0,16.5,4.5,15.0,21.75,30.0,14.25,8.0,26.5,5.25,13.5,0.0,7.5,45.0,45.75,38.25,18.308823529411764,762.8650519031141,11.85,18.75,34.125
