S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
93,81,99,63,0,51,81,120,87,76,0,58,85,9,27,48,327,68.76923076923077,1153.562130177515,78.0,57.75,72.42857142857143,28.5,177.0
111,66,87,78,0,99,99,120,108,102,0,54,72,39,27,36,168,76.61538461538461,1399.3136094674555,94.5,63.0,79.28571428571429,37.5,97.5
165,66,84,57,0,78,45,88,108,102,0,36,72,60,45,72,147,69.3076923076923,1833.905325443787,111.0,57.0,64.42857142857143,66.0,96.0
72,93,81,129,0,60,27,39,120,108,0,54,103,30,87,54,57,68.15384615384616,1699.2071005917157,100.5,58.5,64.42857142857143,42.0,72.0
102,75,93,108,0,18,81,39,90,60,0,111,90,51,126,42,111,66.6923076923077,1465.1360946745563,105.0,46.5,67.28571428571429,46.5,118.5
81,72,123,39,0,9,81,52,90,60,0,111,90,48,90,60,129,62.15384615384615,1510.8994082840238,60.0,51.0,69.14285714285714,54.0,109.5
111,78,75,9,0,30,81,48,160,45,0,82,99,36,99,30,96,62.92307692307692,2042.6863905325442,60.0,45.75,73.57142857142857,33.0,97.5
69,66,105,51,0,84,85,48,99,21,0,36,108,72,42,42,27,59.38461538461539,1283.4674556213017,60.0,63.75,56.714285714285715,57.0,34.5
93,102,144,69,0,5112,63,112,99,21,0,45,108,84,21,30,57,459.0769230769231,1805982.0710059174,81.0,1339.5,64.0,57.0,39.0
165,105,57,78,0,3618,117,123,84,40,0,27,136,63,21,54,48,350.0,892438.9230769231,121.5,945.0,75.28571428571429,58.5,34.5
246,126,273,684,0,1578,153,123,99,147,0,636,459,42,0,42,102,348.0,170741.07692307694,465.0,494.25,231.0,42.0,51.0
648,240,609,960,0,4350,183,226,99,147,0,636,459,18,0,18,84,658.2307692307693,1214704.3313609469,804.0,1299.75,250.0,18.0,42.0
2871,1962,1041,852,0,621,183,561,172,226,0,742,390,72,69,39,93,740.0769230769231,638351.1479289941,1861.5,906.0,324.85714285714283,55.5,81.0
2028,2142,1077,837,0,3162,531,561,273,369,0,600,390,72,96,81,123,920.7692307692307,835196.4852071005,1432.5,1595.25,389.14285714285717,76.5,109.5
1422,1566,681,1101,0,1950,1809,1156,273,369,0,861,390,39,87,114,93,890.6153846153846,411868.08284023666,1261.5,1049.25,694.0,76.5,90.0
894,1374,771,993,0,750,1224,1380,693,696,0,840,477,39,81,63,39,776.3076923076923,176613.4437869822,943.5,723.75,758.5714285714286,51.0,60.0
819,654,636,450,0,882,1266,1380,1206,1500,0,531,636,96,39,42,78,766.1538461538462,211581.05325443787,634.5,543.0,931.2857142857143,69.0,58.5
603,486,651,426,0,870,780,1161,1206,1500,0,531,636,75,27,39,48,680.7692307692307,175722.1775147929,514.5,501.75,830.5714285714286,57.0,37.5
780,834,522,450,0,1110,780,708,1488,1348,0,505,654,51,99,51,39,706.0769230769231,181047.14792899412,615.0,616.5,783.2857142857143,51.0,69.0
660,429,471,510,0,834,708,708,972,1101,0,573,519,72,75,60,99,575.7692307692307,95746.79289940829,585.0,433.5,654.4285714285714,66.0,87.0
564,801,681,489,0,798,669,607,972,1101,0,681,519,81,48,93,108,606.3076923076923,94352.52071005918,526.5,570.0,649.8571428571429,87.0,78.0
453,534,621,357,0,594,447,414,1032,951,0,663,505,42,72,84,129,505.46153846153845,82317.47928994082,405.0,437.25,573.1428571428571,63.0,100.5
