S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
9,9,9,9,0,0,0,9,9,30,15,0,18,0,9,0,18,9.0,67.84615384615385,9.0,4.5,11.571428571428571,0.0,13.5
0,0,9,0,36,21,9,4,9,30,21,0,18,0,0,0,9,12.076923076923077,135.76331360946747,0.0,16.5,13.0,0.0,4.5
9,0,18,0,36,0,9,0,4,40,25,0,13,9,30,0,9,11.846153846153847,182.13017751479288,4.5,13.5,13.0,4.5,19.5
18,0,18,0,0,0,13,0,42,18,30,0,0,18,30,9,21,10.692307692307692,178.36686390532546,9.0,4.5,14.714285714285714,13.5,25.5
51,0,9,0,0,0,18,0,42,18,34,0,0,9,9,9,21,13.23076923076923,305.7159763313609,25.5,2.25,16.0,9.0,15.0
42,9,9,0,0,9,9,0,21,18,39,0,4,9,48,0,0,12.307692307692308,186.21301775147933,21.0,6.75,13.0,4.5,24.0
0,9,0,0,9,0,36,0,0,0,30,0,18,42,27,0,0,7.846153846153846,144.74556213017752,0.0,4.5,12.0,21.0,13.5
0,0,0,0,9,0,36,0,0,0,21,0,18,51,0,0,0,6.461538461538462,123.01775147928996,0.0,2.25,10.714285714285714,25.5,0.0
0,0,9,0,81,0,36,0,0,4,27,0,9,9,9,0,21,12.76923076923077,511.1005917159764,0.0,22.5,10.857142857142858,4.5,15.0
0,0,9,9,0,0,22,0,0,9,33,0,0,0,39,0,21,6.3076923076923075,99.90532544378698,4.5,2.25,9.142857142857142,0.0,30.0
21,21,72,9,0,0,0,15,0,9,21,0,0,0,9,0,0,12.923076923076923,363.30177514792894,15.0,23.25,6.428571428571429,0.0,4.5
96,9,72,33,30,210,9,9,0,4,9,0,0,0,33,0,75,37.0,3310.153846153846,64.5,80.25,4.428571428571429,0.0,54.0
180,27,9,45,0,678,36,9,99,87,46,18,36,21,51,0,75,97.6923076923077,30256.36686390532,112.5,178.5,47.285714285714285,10.5,63.0
312,159,27,255,18,1590,297,136,99,87,84,18,36,42,9,0,0,239.84615384615384,161670.28402366868,283.5,448.5,108.14285714285714,21.0,4.5
375,348,228,381,18,1554,297,435,322,307,165,204,255,0,21,78,21,376.0769230769231,126515.9171597633,378.0,537.0,283.57142857142856,39.0,21.0
546,249,318,396,105,1470,252,435,1113,585,246,384,420,9,30,126,81,501.46153846153845,133773.0177514793,471.0,535.5,490.7142857142857,67.5,55.5
708,378,255,438,378,1866,234,540,1113,585,394,654,420,75,18,237,60,612.5384615384615,179608.86390532547,573.0,719.25,562.8571428571429,156.0,39.0
753,522,513,393,753,1698,333,654,1231,922,543,846,658,174,0,402,60,755.3076923076923,126041.28994082841,573.0,871.5,741.0,288.0,30.0
924,738,639,780,714,1482,663,654,1278,1386,726,885,1086,171,0,513,198,919.6153846153846,79886.23668639055,852.0,893.25,954.0,342.0,99.0
963,846,660,714,870,1170,831,733,1278,1386,909,885,1086,141,51,339,264,948.5384615384615,45298.86390532545,838.5,886.5,1015.4285714285714,240.0,157.5
927,1134,603,960,1116,954,831,729,1153,1242,1002,904,871,30,51,345,453,955.8461538461538,29427.514792899412,943.5,951.75,961.7142857142857,187.5,252.0
951,1041,534,792,876,1038,750,729,861,1077,1095,849,834,81,30,273,390,879.0,23966.307692307695,871.5,872.25,885.0,177.0,210.0
690,1146,519,567,657,858,951,720,861,1077,852,1038,834,135,48,345,411,828.4615384615385,34500.24852071006,628.5,795.0,904.7142857142857,240.0,229.5
582,1002,582,417,804,678,963,594,708,921,609,945,748,129,57,300,225,734.8461538461538,30351.976331360955,499.5,766.5,784.0,214.5,141.0
810,678,915,477,1176,621,588,594,723,669,580,504,861,174,60,240,453,707.3846153846154,34204.08284023669,643.5,847.5,645.5714285714286,207.0,256.5
837,378,690,354,891,477,600,724,723,669,552,504,861,273,51,231,300,635.3846153846154,28654.54437869823,595.5,609.0,661.8571428571429,252.0,175.5
570,522,627,345,651,321,600,1056,558,621,409,544,676,105,51,192,519,576.9230769230769,30906.994082840232,457.5,530.25,637.7142857142857,148.5,285.0
690,513,696,393,558,312,579,1056,492,678,267,423,351,198,18,240,651,539.0769230769231,41118.071005917154,541.5,519.75,549.4285714285714,219.0,334.5
633,678,564,426,549,264,639,765,492,678,295,264,351,159,42,384,333,507.53846153846155,27501.479289940828,529.5,513.75,497.7142857142857,271.5,187.5
657,585,615,531,558,312,381,759,576,499,324,282,366,213,51,312,312,495.7692307692308,20616.177514792904,594.0,517.5,455.2857142857143,262.5,181.5
462,300,507,285,408,345,402,759,342,252,367,384,234,195,51,189,468,388.2307692307692,17143.10059171598,373.5,390.0,391.42857142857144,192.0,259.5
285,237,690,252,360,276,441,649,342,252,411,384,234,159,99,369,357,370.2307692307692,20625.86982248521,268.5,390.75,387.57142857142856,264.0,228.0
360,171,660,183,390,252,441,537,234,222,387,274,223,126,78,435,402,333.38461538461536,20008.390532544385,271.5,368.25,331.14285714285717,280.5,240.0
261,117,483,102,453,357,373,537,216,303,363,225,228,129,48,213,264,309.0769230769231,16663.917159763318,181.5,352.5,320.7142857142857,171.0,156.0
141,210,318,138,543,210,513,468,216,303,378,243,228,210,27,60,435,300.6923076923077,17097.44378698225,139.5,320.25,335.57142857142856,135.0,231.0
186,597,312,168,339,288,507,252,294,243,393,174,214,186,18,78,417,305.15384615384613,15419.360946745566,177.0,384.0,296.7142857142857,132.0,217.5
150,231,261,123,321,267,330,252,279,366,349,111,204,108,18,252,102,249.53846153846155,6452.094674556213,136.5,270.0,270.14285714285717,180.0,60.0
141,207,375,39,339,246,261,264,279,366,306,111,204,363,63,327,120,241.3846153846154,9233.467455621301,90.0,291.75,255.85714285714286,345.0,91.5
207,402,288,129,258,267,261,90,190,241,211,78,184,171,87,111,78,215.84615384615384,7006.8994082840245,168.0,303.75,179.28571428571428,141.0,82.5
132,222,186,309,246,78,249,90,138,93,117,75,324,114,48,156,93,173.76923076923077,7148.0236686390535,220.5,183.0,155.14285714285714,135.0,70.5
171,27,168,288,306,60,153,136,138,93,94,66,324,120,69,243,159,155.69230769230768,8539.905325443786,229.5,140.25,143.42857142857142,181.5,114.0
213,36,132,168,306,156,126,264,94,60,72,99,202,135,39,165,183,148.30769230769232,6011.136094674557,190.5,157.5,131.0,150.0,111.0
153,144,135,21,162,234,99,264,21,87,99,126,90,144,18,129,111,125.76923076923077,4574.0236686390535,87.0,168.75,112.28571428571429,136.5,64.5
90,171,126,294,132,156,153,156,21,87,126,126,90,108,9,171,168,132.92307692307693,3640.686390532544,192.0,146.25,108.42857142857143,139.5,88.5
