S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,9,0.0,0.0,0.0,0.0,0.0,0.0,39.0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,18,0.3076923076923077,1.1360946745562133,0.0,0.0,0.5714285714285714,0.0,18.0
0,0,0,0,0,9,0,0,0,0,0,0,0,0,30,0,9,0.6923076923076923,5.751479289940834,0.0,2.25,0.0,0.0,19.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,45,0,9,0.6923076923076923,5.751479289940834,0.0,2.25,0.0,0.0,27.0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,18,1.6153846153846154,31.313609467455628,10.5,0.0,0.0,0.0,34.5
21,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,18,1.6153846153846154,31.313609467455628,10.5,0.0,0.0,4.5,22.5
9,0,0,0,0,108,0,0,0,0,12,0,0,0,81,9,0,9.923076923076923,816.0710059171596,4.5,27.0,1.7142857142857142,4.5,40.5
0,0,0,0,0,501,0,0,42,213,24,0,36,0,93,0,9,62.76923076923077,19137.408284023673,0.0,125.25,45.0,0.0,51.0
9,0,0,21,0,1470,18,0,42,213,36,120,36,0,84,0,18,151.15384615384616,148373.36094674558,15.0,367.5,66.42857142857143,0.0,51.0
36,99,96,159,66,2226,54,345,717,439,48,426,438,0,141,0,39,396.0769230769231,320769.30177514796,97.5,621.75,352.42857142857144,0.0,90.0
162,111,165,222,435,2394,99,345,2097,1404,73,507,747,0,105,0,9,673.9230769230769,573010.2248520711,192.0,776.25,753.1428571428571,0.0,57.0
249,612,264,129,780,3402,126,253,2097,1404,99,507,747,0,18,102,120,820.6923076923077,863252.982248521,189.0,1264.5,747.5714285714286,51.0,69.0
675,657,399,414,1482,1674,126,486,2322,1521,235,595,639,0,72,93,60,863.4615384615385,407606.4023668638,544.5,1053.0,846.2857142857143,46.5,66.0
693,441,588,570,1389,1350,139,486,1635,1581,372,780,639,0,102,0,39,820.2307692307693,225729.4082840237,631.5,942.0,804.5714285714286,0.0,70.5
651,630,732,942,1542,1302,441,601,1635,1581,651,897,639,0,72,75,87,941.8461538461538,165391.66863905324,796.5,1051.5,920.7142857142857,37.5,79.5
762,786,630,708,1206,1074,591,888,1395,1393,930,966,774,0,132,123,213,931.0,66004.15384615384,735.0,924.0,991.0,61.5,172.5
969,1182,654,816,1332,858,498,888,837,1140,763,681,786,0,60,69,315,877.2307692307693,48965.25443786983,892.5,1006.5,799.0,34.5,187.5
897,1398,660,1005,846,693,459,903,837,1140,597,681,786,51,72,21,222,838.6153846153846,55557.159763313626,951.0,899.25,771.8571428571429,36.0,147.0
930,1074,1014,876,588,870,459,414,885,1024,697,702,810,42,108,72,216,795.6153846153846,41241.00591715976,903.0,886.5,713.0,57.0,162.0
861,1218,900,873,462,750,535,414,804,771,798,567,564,9,129,195,153,732.0769230769231,44662.22485207101,867.0,832.5,636.1428571428571,102.0,141.0
684,690,576,708,909,786,675,538,804,771,625,801,564,9,99,57,132,702.3846153846154,11065.159763313612,696.0,740.25,682.5714285714286,33.0,115.5
561,630,369,777,900,609,846,855,634,718,453,603,591,51,66,39,264,657.3846153846154,22823.313609467452,669.0,627.0,671.4285714285714,45.0,165.0
561,558,501,804,654,462,636,855,414,414,366,360,417,42,69,84,45,538.6153846153846,23771.92899408284,682.5,543.75,494.57142857142856,63.0,57.0
504,486,555,816,711,522,570,723,414,414,279,360,417,9,39,30,57,520.8461538461538,22092.284023668646,660.0,568.5,453.85714285714283,19.5,48.0
390,525,318,405,663,474,570,543,327,465,406,316,376,18,120,9,81,444.46153846153845,10614.710059171597,397.5,495.0,429.0,13.5,100.5
465,858,435,366,576,249,472,543,204,564,534,351,345,18,18,21,57,458.61538461538464,26139.159763313608,415.5,529.5,430.42857142857144,19.5,37.5
441,714,525,438,246,312,378,550,204,564,591,351,345,27,18,42,78,435.3076923076923,20215.5976331361,439.5,449.25,426.14285714285717,34.5,48.0
474,441,366,369,288,417,201,774,165,459,648,378,373,48,18,30,99,411.7692307692308,24708.1775147929,421.5,378.0,428.2857142857143,39.0,58.5
315,264,318,537,249,222,387,774,240,342,468,360,315,39,36,63,135,368.53846153846155,21176.094674556214,426.0,263.25,412.2857142857143,51.0,85.5
267,435,231,366,552,105,270,571,240,342,288,360,315,39,66,90,81,334.0,15277.384615384617,316.5,330.75,340.85714285714283,64.5,73.5
429,525,198,267,474,105,270,351,238,352,216,252,273,18,51,66,60,303.84615384615387,12846.59171597633,348.0,325.5,278.85714285714283,42.0,55.5
411,582,306,96,315,150,225,351,324,204,0,108,201,0,75,51,51,251.76923076923077,21589.56213017752,253.5,338.25,201.85714285714286,25.5,63.0
213,453,255,129,210,138,249,300,324,204,0,129,201,18,96,42,39,215.76923076923077,11214.639053254437,171.0,264.0,201.0,30.0,67.5
240,195,216,126,141,120,321,180,312,220,0,138,202,81,54,234,123,185.46153846153845,6640.248520710059,183.0,168.0,196.14285714285714,157.5,88.5
294,105,240,147,246,111,144,180,162,261,0,159,99,84,72,78,93,165.23076923076923,5936.485207100592,220.5,175.5,143.57142857142858,81.0,82.5
282,30,168,123,267,72,276,186,162,261,0,159,99,42,63,57,18,160.3846153846154,8159.005917159762,202.5,134.25,163.28571428571428,49.5,40.5
207,162,75,72,138,42,276,192,123,169,0,150,133,132,99,27,18,133.76923076923077,5000.331360946746,139.5,104.25,149.0,79.5,58.5
270,183,72,84,102,108,252,192,57,123,0,120,204,150,93,33,27,135.92307692307693,5790.994082840236,177.0,116.25,135.42857142857142,91.5,60.0
378,90,36,108,36,93,315,280,57,123,0,99,204,9,81,42,27,139.92307692307693,12829.917159763316,243.0,63.75,154.0,25.5,54.0
168,78,69,129,75,36,108,297,79,90,0,111,160,66,45,9,54,107.6923076923077,4922.828402366865,148.5,64.5,120.71428571428571,37.5,49.5
123,78,90,18,135,9,90,297,81,78,0,102,108,54,36,9,36,93.0,5117.538461538462,70.5,78.0,108.0,31.5,36.0
123,141,186,51,105,9,234,214,81,78,0,102,108,9,72,0,36,110.15384615384616,4679.822485207102,87.0,110.25,116.71428571428571,4.5,54.0
114,54,75,63,36,9,234,162,96,115,0,93,85,21,117,0,78,87.38461538461539,3609.9289940828403,88.5,43.5,112.14285714285714,10.5,97.5
69,129,78,84,57,0,144,162,111,96,0,72,132,54,63,30,27,87.23076923076923,2307.408284023669,76.5,66.0,102.42857142857143,42.0,45.0
66,153,39,39,153,0,204,106,111,96,0,72,132,54,9,0,9,90.07692307692308,3517.9171597633135,52.5,86.25,103.0,27.0,9.0
45,108,36,345,54,9,177,48,85,85,0,54,88,0,51,33,9,87.23076923076923,7448.485207100594,195.0,51.75,76.71428571428571,16.5,30.0
120,39,36,69,27,30,54,48,60,21,0,54,18,30,54,21,30,44.30769230769231,814.3668639053254,94.5,33.0,36.42857142857143,25.5,42.0
147,39,27,42,90,42,27,43,60,21,0,54,18,54,0,21,48,46.92307692307692,1286.3786982248519,94.5,49.5,31.857142857142858,37.5,24.0
72,9,45,42,9,30,27,39,52,24,0,58,18,45,18,0,27,32.69230769230769,412.2130177514793,57.0,23.25,31.142857142857142,22.5,22.5
27,150,75,21,81,9,49,39,9,27,0,27,27,9,63,150,30,41.61538461538461,1508.6982248520715,24.0,78.75,25.428571428571427,79.5,46.5
18,141,87,42,90,30,99,49,9,27,0,18,27,39,33,171,30,49.0,1645.3846153846155,30.0,87.0,32.714285714285715,105.0,31.5
9,0,147,18,18,30,54,9,9,24,0,0,22,21,9,0,30,26.153846153846153,1421.8224852071005,13.5,48.75,16.857142857142858,10.5,19.5
18,39,96,51,99,54,75,9,123,9,0,9,0,0,27,0,27,44.76923076923077,1640.0236686390533,34.5,72.0,32.142857142857146,0.0,27.0
9,30,54,18,90,54,111,34,123,9,0,9,0,9,45,33,9,41.61538461538461,1653.1597633136098,13.5,57.0,40.857142857142854,21.0,27.0
0,81,261,0,48,9,111,0,111,9,0,13,9,9,36,9,27,50.15384615384615,5333.8224852071,0.0,99.75,36.142857142857146,9.0,31.5
9,81,84,0,9,0,115,0,18,30,0,18,0,9,72,18,18,28.0,1412.3076923076924,4.5,43.5,25.857142857142858,13.5,45.0
