Date_Time,Dp>0.3,Dp>0.5,Dp>1.0,Dp>2.5,Dp>5.0,Dp>10.0
2021-04-20 09:30:07,63,21,0,0,0,0
2021-04-20 09:30:27,27,9,0,0,0,0
2021-04-20 09:30:37,54,18,3,0,0,0
2021-04-20 09:30:57,72,21,0,0,0,0
2021-04-20 09:31:07,36,9,0,0,0,0
2021-04-20 09:31:27,36,12,0,0,0,0
2021-04-20 09:31:37,72,21,0,0,0,0
2021-04-20 09:31:57,81,27,0,0,0,0
2021-04-20 09:32:07,72,24,0,0,0,0
2021-04-20 09:32:27,54,18,0,0,0,0
2021-04-20 09:32:37,54,18,0,0,0,0
2021-04-20 09:32:57,63,21,0,0,0,0
2021-04-20 09:33:07,54,18,0,0,0,0
2021-04-20 09:33:27,36,12,0,0,0,0
2021-04-20 09:33:37,72,24,0,0,0,0
2021-04-20 09:33:57,108,33,0,0,0,0
2021-04-20 09:34:07,54,18,0,0,0,0
2021-04-20 09:34:27,27,9,0,0,0,0
2021-04-20 09:34:37,36,12,0,0,0,0
2021-04-20 09:34:57,9,3,0,0,0,0
2021-04-20 09:35:07,36,12,0,0,0,0
2021-04-20 09:35:27,18,6,0,0,0,0
2021-04-20 09:35:37,54,18,0,0,0,0
2021-04-20 09:35:57,54,18,0,0,0,0
2021-04-20 09:36:07,9,3,0,0,0,0
2021-04-20 09:36:27,72,24,0,0,0,0
2021-04-20 09:38:07,63,15,0,0,0,0
2021-04-20 09:38:27,63,21,0,0,0,0
2021-04-20 09:38:37,54,18,0,0,0,0
2021-04-20 09:38:57,18,6,0,0,0,0
2021-04-20 09:39:07,72,24,3,0,0,0
2021-04-20 09:39:27,27,6,0,0,0,0
2021-04-20 09:39:37,27,9,0,0,0,0
2021-04-20 09:39:57,63,21,0,0,0,0
2021-04-20 09:40:07,90,27,0,0,0,0
2021-04-20 09:40:27,63,21,0,0,0,0
2021-04-20 09:40:37,54,18,3,0,0,0
2021-04-20 09:40:57,54,15,0,0,0,0
2021-04-20 09:41:07,108,27,0,0,0,0
2021-04-20 09:41:27,18,3,0,0,0,0
2021-04-20 09:41:37,27,6,0,0,0,0
2021-04-20 09:41:57,120,31,3,0,0,0
2021-04-20 09:42:07,36,6,0,0,0,0
2021-04-20 09:42:27,9,3,0,0,0,0
2021-04-20 09:42:37,9,3,0,0,0,0
2021-04-20 09:42:57,81,27,0,0,0,0
2021-04-20 09:43:07,45,15,0,0,0,0
2021-04-20 09:43:27,36,12,0,0,0,0
2021-04-20 09:43:37,72,24,0,0,0,0
2021-04-20 09:43:57,72,24,3,0,0,0
2021-04-20 09:44:07,81,27,3,0,0,0
2021-04-20 09:44:27,117,36,0,0,0,0
2021-04-20 09:44:37,108,36,0,0,0,0
2021-04-20 09:44:57,54,18,0,0,0,0
2021-04-20 09:45:07,27,9,0,0,0,0
2021-04-20 09:45:27,63,21,3,0,0,0
2021-04-20 09:45:37,72,24,0,0,0,0
2021-04-20 09:45:57,54,18,0,0,0,0
2021-04-20 09:46:07,66,22,0,0,0,0
2021-04-20 09:46:27,72,15,0,0,0,0
2021-04-20 09:46:37,90,24,3,3,3,0
2021-04-20 09:46:57,99,33,3,0,0,0
2021-04-20 09:47:27,420,137,33,9,6,3
2021-04-20 09:55:07,99,33,0,0,0,0
2021-04-20 09:55:27,72,21,6,3,3,0
2021-04-20 09:55:37,99,30,3,0,0,0
2021-04-20 09:55:57,117,39,0,0,0,0
2021-04-20 09:56:07,108,36,0,0,0,0
2021-04-20 09:56:27,72,24,0,0,0,0
2021-04-20 09:56:37,36,12,0,0,0,0
2021-04-20 09:56:57,90,27,6,3,3,0
2021-04-20 09:57:07,45,12,3,0,0,0
2021-04-20 09:57:27,36,12,0,0,0,0
2021-04-20 09:57:37,54,18,3,3,3,0
2021-04-20 09:57:57,81,27,9,9,9,3
2021-04-20 09:58:07,99,33,9,9,9,3
2021-04-20 09:58:27,27,9,0,0,0,0
2021-04-20 09:58:37,63,18,0,0,0,0
2021-04-20 09:58:57,117,33,0,0,0,0
2021-04-20 09:59:07,45,9,0,0,0,0
2021-04-20 09:59:27,45,9,0,0,0,0
2021-04-20 09:59:37,54,15,0,0,0,0
2021-04-20 09:59:57,54,18,0,0,0,0
2021-04-20 10:00:07,36,12,0,0,0,0
2021-04-20 10:00:27,45,15,0,0,0,0
2021-04-20 10:00:37,54,18,0,0,0,0
2021-04-20 10:00:57,63,21,0,0,0,0
2021-04-20 10:01:07,54,18,0,0,0,0
2021-04-20 10:01:27,54,18,0,0,0,0
2021-04-20 10:01:37,36,12,0,0,0,0
2021-04-20 10:01:57,36,12,3,3,3,3
2021-04-20 10:02:07,81,27,6,3,3,3
2021-04-20 10:02:27,18,6,0,0,0,0
2021-04-20 10:02:37,18,6,0,0,0,0
2021-04-20 10:02:57,72,24,0,0,0,0
2021-04-20 10:03:07,54,18,0,0,0,0
2021-04-20 10:03:27,45,12,3,3,3,0
2021-04-20 10:03:37,162,54,3,0,0,0
2021-04-20 10:03:57,546,179,21,0,0,0
2021-04-20 10:04:07,924,305,93,27,6,3
2021-04-20 10:04:27,966,316,89,30,12,0
2021-04-20 10:04:37,909,300,87,15,6,0
2021-04-20 10:04:57,906,292,70,6,6,3
2021-04-20 10:05:07,945,315,70,18,3,3
2021-04-20 10:05:27,960,320,110,24,9,0
2021-04-20 10:05:37,642,208,88,21,15,3
2021-04-20 10:05:57,723,235,85,21,9,0
2021-04-20 10:06:07,873,279,75,15,9,3
2021-04-20 10:06:27,1074,342,98,12,3,0
2021-04-20 10:06:37,1044,329,106,15,12,3
2021-04-20 10:06:57,765,255,42,6,3,0
2021-04-20 10:07:07,663,211,48,9,9,0
2021-04-20 10:07:27,660,200,54,18,0,0
2021-04-20 10:07:37,912,298,98,33,9,3
2021-04-20 10:07:57,627,206,60,18,3,3
2021-04-20 10:08:07,534,178,52,24,18,9
2021-04-20 10:08:27,486,144,27,6,6,0
2021-04-20 10:08:37,576,160,27,6,6,0
2021-04-20 10:08:57,399,130,18,3,3,3
2021-04-20 10:09:07,387,129,12,0,0,0
2021-04-20 10:09:27,537,176,27,9,9,3
2021-04-20 10:09:37,381,127,24,6,6,3
2021-04-20 10:09:57,321,104,21,6,6,3
2021-04-20 10:10:07,297,99,15,3,3,3
2021-04-20 10:10:27,456,149,36,3,3,0
2021-04-20 10:10:37,363,118,12,6,6,0
2021-04-20 10:10:57,336,112,9,0,0,0
2021-04-20 10:11:07,372,121,27,0,0,0
2021-04-20 10:11:27,240,74,18,6,3,0
2021-04-20 10:11:37,327,109,21,3,3,0
2021-04-20 10:11:57,324,108,24,3,3,0
2021-04-20 10:12:07,255,85,24,3,3,0
2021-04-20 10:12:27,414,138,15,3,3,0
2021-04-20 10:12:37,144,48,12,6,6,0
2021-04-20 10:12:57,234,69,15,6,6,0
