S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
66.0,65.0,71.0,63.0,81.0,74.0,102.0,86.0,89.33333333333333,121.0,57.0,71.0,68.33333333333333,109.0,42.0,197.0,83.0,78.05128205128206,1975.881656804734,64.5,72.75,84.95238095238095,153.0,62.5
66.1,67.1,72.8,62.1,83.5,72.3,102.3,86.33333333333333,86.63333333333333,121.0,56.63333333333333,71.0,66.63333333333333,108.6,43.1,190.8,79.4,78.03333333333335,2016.6386587771203,64.1,73.925,84.36190476190475,149.7,61.25
66.2,69.2,74.6,61.2,86.0,70.6,102.6,86.66666666666667,83.93333333333334,121.0,56.266666666666666,71.0,64.93333333333334,108.2,44.2,184.6,75.8,78.01538461538462,2057.395660749507,63.7,75.1,83.77142857142857,146.4,60.0
66.3,71.3,76.4,60.3,88.5,68.9,102.9,87.0,81.23333333333333,121.0,55.9,71.0,63.233333333333334,107.8,45.3,178.4,72.2,77.9974358974359,2098.1526627218936,63.3,76.275,83.18095238095238,143.1,58.75
66.4,73.4,78.2,59.4,91.0,67.2,103.2,87.33333333333333,78.53333333333333,121.0,55.53333333333333,71.0,61.53333333333333,107.4,46.4,172.2,68.6,77.97948717948718,2138.90966469428,62.9,77.45,82.59047619047618,139.8,57.5
66.5,75.5,80.0,58.5,93.5,65.5,103.5,87.66666666666666,75.83333333333333,121.0,55.16666666666667,71.0,59.83333333333333,107.0,47.5,166.0,65.0,77.96153846153847,2179.6666666666665,62.5,78.625,82.0,136.5,56.25
66.6,77.6,81.8,57.6,96.0,63.8,103.8,88.0,73.13333333333333,121.0,54.800000000000004,71.0,58.13333333333333,106.6,48.6,159.8,61.4,77.94358974358975,2220.423668639053,62.1,79.8,81.4095238095238,133.2,55.0
66.7,79.7,83.6,56.7,98.5,62.1,104.1,88.33333333333333,70.43333333333334,121.0,54.43333333333334,71.0,56.43333333333334,106.2,49.7,153.6,57.8,77.92564102564103,2261.18067061144,61.7,80.975,80.81904761904761,129.9,53.75
66.8,81.8,85.4,55.8,101.0,60.4,104.4,88.66666666666666,67.73333333333333,121.0,54.06666666666667,71.0,54.733333333333334,105.8,50.8,147.4,54.2,77.90769230769232,2301.9376725838265,61.3,82.15,80.22857142857141,126.6,52.5
66.9,83.9,87.2,54.9,103.5,58.7,104.7,89.0,65.03333333333333,121.0,53.7,71.0,53.03333333333333,105.4,51.9,141.2,50.6,77.88974358974359,2342.6946745562127,60.9,83.325,79.63809523809523,123.3,51.25
