S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
87.0,70.0,112.0,34.0,27.0,117.0,84.0,110.0,103.66666666666667,74.0,66.0,72.0,81.0,50.0,102.0,100.0,98.0,79.82051282051282,1937.1597633136091,60.5,81.5,84.3809523809524,75.0,100.0
87.0,68.9,113.6,36.4,27.0,116.5,84.6,111.3,100.5,74.2,66.53333333333333,72.83333333333333,81.0,50.2,98.6,93.6,97.4,80.02820512820513,1926.3278106508874,61.7,81.5,84.42380952380954,71.9,98.0
87.0,67.8,115.2,38.8,27.0,116.0,85.2,112.6,97.33333333333334,74.4,67.06666666666666,73.66666666666667,81.0,50.4,95.2,87.2,96.8,80.23589743589743,1915.4958579881654,62.9,81.5,84.46666666666668,68.8,96.0
87.0,66.7,116.8,41.2,27.0,115.5,85.8,113.9,94.16666666666667,74.6,67.6,74.5,81.0,50.6,91.8,80.8,96.2,80.44358974358974,1904.6639053254437,64.1,81.5,84.50952380952381,65.7,94.0
87.0,65.6,118.4,43.6,27.0,115.0,86.4,115.2,91.0,74.8,68.13333333333333,75.33333333333333,81.0,50.8,88.4,74.4,95.6,80.65128205128205,1893.8319526627217,65.3,81.5,84.55238095238096,62.6,92.0
87.0,64.5,120.0,46.0,27.0,114.5,87.0,116.5,87.83333333333334,75.0,68.66666666666666,76.16666666666666,81.0,51.0,85.0,68.0,95.0,80.85897435897436,1883.0,66.5,81.5,84.5952380952381,59.5,90.0
87.0,63.4,121.6,48.4,27.0,114.0,87.6,117.8,84.66666666666667,75.2,69.2,77.0,81.0,51.2,81.6,61.599999999999994,94.4,81.06666666666666,1872.1680473372783,67.7,81.5,84.63809523809525,56.4,88.0
87.0,62.3,123.2,50.8,27.0,113.5,88.2,119.1,81.5,75.4,69.73333333333333,77.83333333333333,81.0,51.4,78.2,55.199999999999996,93.8,81.27435897435898,1861.3360946745563,68.9,81.5,84.68095238095239,53.3,86.0
87.0,61.2,124.8,53.2,27.0,113.0,88.8,120.4,78.33333333333334,75.6,70.26666666666667,78.66666666666666,81.0,51.6,74.8,48.8,93.2,81.48205128205129,1850.5041420118346,70.1,81.5,84.72380952380952,50.2,84.0
87.0,60.1,126.4,55.599999999999994,27.0,112.5,89.4,121.7,75.16666666666667,75.8,70.8,79.5,81.0,51.8,71.4,42.4,92.6,81.68974358974359,1839.6721893491126,71.3,81.5,84.76666666666667,47.099999999999994,82.0
