S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
53.0,48.0,120.0,79.0,66.0,76.0,82.33333333333333,86.0,104.0,56.333333333333336,0.0,99.33333333333333,76.33333333333333,78.0,36.0,50.0,148.0,72.7948717948718,1473.4437869822486,86.13333333333333,73.66666666666666,0.0,78.0
57.9,48.8,118.3,82.8,67.5,73.0,83.39999999999999,86.7,104.7,57.2,0.0,94.89999999999999,75.89999999999999,75.2,33.9,51.5,145.8,73.16153846153846,1502.726627218935,85.5,74.8,0.0,76.6
62.8,49.6,116.6,86.6,69.0,70.0,84.46666666666667,87.4,105.4,58.06666666666667,0.0,90.46666666666667,75.46666666666667,72.4,31.8,53.0,143.6,73.52820512820513,1532.0094674556215,84.86666666666666,75.93333333333332,0.0,75.2
67.7,50.4,114.9,90.4,70.5,67.0,85.53333333333333,88.1,106.1,58.93333333333334,0.0,86.03333333333333,75.03333333333333,69.6,29.7,54.5,141.4,73.89487179487179,1561.2923076923078,84.23333333333332,77.06666666666666,0.0,73.8
72.6,51.2,113.2,94.2,72.0,64.0,86.6,88.8,106.8,59.800000000000004,0.0,81.6,74.6,66.8,27.6,56.0,139.2,74.26153846153846,1590.5751479289943,83.6,78.19999999999999,0.0,72.4
77.5,52.0,111.5,98.0,73.5,61.0,87.66666666666666,89.5,107.5,60.66666666666667,0.0,77.16666666666666,74.16666666666666,64.0,25.5,57.5,137.0,74.62820512820512,1619.8579881656806,82.96666666666667,79.33333333333333,0.0,71.0
82.4,52.8,109.8,101.8,75.0,58.0,88.73333333333333,90.2,108.2,61.53333333333333,0.0,72.73333333333333,73.73333333333333,61.2,23.4,59.0,134.8,74.99487179487178,1649.1408284023669,82.33333333333333,80.46666666666667,0.0,69.6
87.30000000000001,53.6,108.1,105.6,76.5,55.0,89.8,90.9,108.9,62.4,0.0,68.3,73.3,58.400000000000006,21.299999999999997,60.5,132.6,75.36153846153846,1678.4236686390534,81.69999999999999,81.6,0.0,68.2
92.2,54.4,106.4,109.4,78.0,52.0,90.86666666666666,91.6,109.6,63.266666666666666,0.0,63.86666666666667,72.86666666666666,55.6,19.2,62.0,130.4,75.72820512820512,1707.7065088757397,81.06666666666666,82.73333333333333,0.0,66.8
97.1,55.2,104.7,113.19999999999999,79.5,49.0,91.93333333333334,92.3,110.3,64.13333333333334,0.0,59.43333333333334,72.43333333333334,52.8,17.099999999999998,63.5,128.2,76.09487179487179,1736.9893491124262,80.43333333333334,83.86666666666666,0.0,65.4
102.0,56.0,103.0,117.0,81.0,46.0,93.0,93.0,111.0,65.0,0.0,55.0,72.0,50.0,15.0,65.0,126.0,76.46153846153845,1766.2721893491125,79.8,85.0,0.0,64.0
105.9,58.1,100.9,112.7,75.5,48.0,89.4,92.03333333333333,109.63333333333333,67.36666666666667,0.0,55.2,72.56666666666666,50.4,17.0,65.6,128.5,75.94615384615383,1759.3061143984223,79.88,83.98571428571428,0.0,65.375
109.8,60.2,98.8,108.4,70.0,50.0,85.8,91.06666666666666,108.26666666666667,69.73333333333333,0.0,55.4,73.13333333333334,50.8,19.0,66.2,131.0,75.43076923076923,1752.340039447732,79.96,82.97142857142858,0.0,66.75
113.7,62.3,96.7,104.1,64.5,52.0,82.2,90.1,106.9,72.1,0.0,55.6,73.7,51.2,21.0,66.8,133.5,74.91538461538461,1745.3739644970415,80.03999999999999,81.95714285714286,0.0,68.125
117.6,64.4,94.6,99.8,59.0,54.0,78.6,89.13333333333333,105.53333333333333,74.46666666666667,0.0,55.8,74.26666666666667,51.6,23.0,67.4,136.0,74.39999999999999,1738.4078895463513,80.11999999999999,80.94285714285715,0.0,69.5
121.5,66.5,92.5,95.5,53.5,56.0,75.0,88.16666666666666,104.16666666666666,76.83333333333334,0.0,56.0,74.83333333333334,52.0,25.0,68.0,138.5,73.88461538461539,1731.441814595661,80.19999999999999,79.92857142857143,0.0,70.875
125.4,68.6,90.4,91.2,48.0,58.0,71.4,87.2,102.8,79.2,0.0,56.2,75.4,52.4,27.0,68.6,141.0,73.36923076923077,1724.4757396449706,80.28,78.91428571428571,0.0,72.25
129.3,70.7,88.3,86.9,42.5,60.0,67.8,86.23333333333333,101.43333333333334,81.56666666666666,0.0,56.4,75.96666666666667,52.8,29.0,69.2,143.5,72.85384615384615,1717.5096646942802,80.36,77.9,0.0,73.625
133.2,72.8,86.2,82.6,37.0,62.0,64.2,85.26666666666667,100.06666666666666,83.93333333333334,0.0,56.6,76.53333333333333,53.2,31.0,69.8,146.0,72.33846153846153,1710.54358974359,80.44,76.88571428571429,0.0,75.0
137.1,74.9,84.1,78.30000000000001,31.5,64.0,60.6,84.3,98.69999999999999,86.30000000000001,0.0,56.8,77.10000000000001,53.6,33.0,70.4,148.5,71.82307692307693,1703.5775147928998,80.52,75.87142857142858,0.0,76.375
141.0,77.0,82.0,74.0,26.0,66.0,57.0,83.33333333333333,97.33333333333333,88.66666666666667,0.0,57.0,77.66666666666667,54.0,35.0,71.0,151.0,71.3076923076923,1696.6114398422094,80.6,74.85714285714286,0.0,77.75
135.3,76.3,79.6,76.1,26.2,70.8,57.3,81.69999999999999,95.19999999999999,87.0,0.0,59.4,84.03333333333333,54.4,37.1,68.7,144.9,71.45641025641025,1768.5893491124264,80.47999999999999,75.21904761904763,0.0,76.275
129.6,75.6,77.2,78.2,26.4,75.6,57.6,80.06666666666666,93.06666666666666,85.33333333333334,0.0,61.8,90.4,54.8,39.2,66.4,138.8,71.60512820512821,1840.5672583826433,80.36,75.58095238095238,0.0,74.8
123.9,74.9,74.8,80.3,26.6,80.4,57.9,78.43333333333334,90.93333333333334,83.66666666666667,0.0,64.2,96.76666666666668,55.2,41.3,64.1,132.7,71.75384615384615,1912.5451676528603,80.24,75.94285714285715,0.0,73.325
118.2,74.2,72.4,82.4,26.8,85.2,58.2,76.8,88.8,82.0,0.0,66.6,103.13333333333334,55.6,43.4,61.8,126.6,71.90256410256411,1984.523076923077,80.12,76.3047619047619,0.0,71.85
112.5,73.5,70.0,84.5,27.0,90.0,58.5,75.16666666666666,86.66666666666666,80.33333333333334,0.0,69.0,109.5,56.0,45.5,59.5,120.5,72.05128205128206,2056.500986193294,80.0,76.66666666666667,0.0,70.375
106.8,72.8,67.6,86.6,27.2,94.8,58.8,73.53333333333333,84.53333333333333,78.66666666666667,0.0,71.4,115.86666666666667,56.4,47.6,57.2,114.4,72.2,2128.478895463511,79.88,77.02857142857144,0.0,68.9
101.1,72.1,65.2,88.7,27.4,99.6,59.1,71.9,82.4,77.0,0.0,73.8,122.23333333333335,56.8,49.7,54.900000000000006,108.30000000000001,72.34871794871796,2200.456804733728,79.76,77.39047619047619,0.0,67.425
95.4,71.4,62.8,90.8,27.6,104.4,59.4,70.26666666666667,80.26666666666667,75.33333333333333,0.0,76.2,128.60000000000002,57.2,51.8,52.6,102.2,72.4974358974359,2272.434714003945,79.64,77.75238095238096,0.0,65.95
89.69999999999999,70.7,60.400000000000006,92.9,27.8,109.19999999999999,59.7,68.63333333333333,78.13333333333333,73.66666666666667,0.0,78.6,134.96666666666667,57.6,53.900000000000006,50.3,96.1,72.64615384615387,2344.412623274162,79.52000000000001,78.11428571428571,0.0,64.475
84.0,70.0,58.0,95.0,28.0,114.0,60.0,67.0,76.0,72.0,0.0,81.0,141.33333333333334,58.0,56.0,48.0,90.0,72.79487179487181,2416.390532544379,79.4,78.47619047619048,0.0,63.0
84.7,68.0,60.0,94.5,30.9,106.5,63.3,65.93333333333334,75.0,70.4,2.0,82.9,140.9,55.6,58.1,47.7,88.8,72.6948717948718,2358.9207100591716,79.48,77.94761904761906,2.0,62.55
85.4,66.0,62.0,94.0,33.8,99.0,66.6,64.86666666666667,74.0,68.8,4.0,84.8,140.46666666666667,53.2,60.2,47.4,87.6,72.5948717948718,2301.450887573965,79.56,77.41904761904762,4.0,62.1
86.1,64.0,64.0,93.5,36.7,91.5,69.9,63.8,73.0,67.2,6.0,86.7,140.03333333333333,50.8,62.3,47.1,86.4,72.4948717948718,2243.9810650887575,79.64,76.89047619047619,6.0,61.65
86.8,62.0,66.0,93.0,39.6,84.0,73.2,62.733333333333334,72.0,65.6,8.0,88.6,139.6,48.4,64.4,46.8,85.2,72.3948717948718,2186.5112426035503,79.72,76.36190476190477,8.0,61.2
87.5,60.0,68.0,92.5,42.5,76.5,76.5,61.66666666666667,71.0,64.0,10.0,90.5,139.16666666666669,46.0,66.5,46.5,84.0,72.2948717948718,2129.0414201183435,79.80000000000001,75.83333333333334,10.0,60.75
88.2,58.0,70.0,92.0,45.4,69.0,79.8,60.6,70.0,62.4,12.0,92.4,138.73333333333335,43.6,68.6,46.2,82.8,72.19487179487179,2071.571597633136,79.88000000000001,75.3047619047619,12.0,60.3
88.9,56.0,72.0,91.5,48.3,61.5,83.1,59.53333333333333,69.0,60.8,14.0,94.3,138.3,41.2,70.7,45.9,81.6,72.09487179487179,2014.1017751479292,79.96000000000001,74.77619047619048,14.0,59.85
89.6,54.0,74.0,91.0,51.2,54.0,86.4,58.46666666666667,68.0,59.2,16.0,96.2,137.86666666666667,38.8,72.8,45.6,80.4,71.99487179487178,1956.6319526627221,80.04,74.24761904761905,16.0,59.4
90.3,52.0,76.0,90.5,54.099999999999994,46.5,89.7,57.400000000000006,67.0,57.6,18.0,98.1,137.43333333333334,36.400000000000006,74.9,45.3,79.2,71.89487179487179,1899.1621301775149,80.12,73.71904761904761,18.0,58.95
91.0,50.0,78.0,90.0,57.0,39.0,93.0,56.333333333333336,66.0,56.0,20.0,100.0,137.0,34.0,77.0,45.0,78.0,71.79487179487178,1841.6923076923078,80.2,73.19047619047619,20.0,58.5
89.9,50.2,81.9,89.9,57.9,38.7,93.0,57.233333333333334,65.8,56.733333333333334,23.5,98.8,133.63333333333333,37.5,76.5,45.9,77.3,72.09230769230768,1828.528599605523,80.46000000000001,73.05714285714285,23.5,59.3
88.8,50.4,85.8,89.8,58.8,38.4,93.0,58.13333333333333,65.6,57.46666666666667,27.0,97.6,130.26666666666665,41.0,76.0,46.8,76.6,72.38974358974357,1815.3648915187377,80.72,72.92380952380952,27.0,60.1
87.7,50.6,89.7,89.7,59.7,38.1,93.0,59.03333333333333,65.4,58.2,30.5,96.4,126.9,44.5,75.5,47.7,75.9,72.68717948717948,1802.2011834319528,80.98,72.79047619047618,30.5,60.9
86.6,50.8,93.6,89.6,60.6,37.8,93.0,59.93333333333333,65.2,58.93333333333334,34.0,95.2,123.53333333333333,48.0,75.0,48.6,75.2,72.98461538461537,1789.0374753451676,81.24,72.65714285714286,34.0,61.7
85.5,51.0,97.5,89.5,61.5,37.5,93.0,60.83333333333333,65.0,59.66666666666667,37.5,94.0,120.16666666666666,51.5,74.5,49.5,74.5,73.28205128205127,1775.8737672583827,81.5,72.52380952380952,37.5,62.5
84.4,51.2,101.4,89.4,62.4,37.2,93.0,61.733333333333334,64.8,60.400000000000006,41.0,92.8,116.8,55.0,74.0,50.4,73.8,73.57948717948717,1762.7100591715978,81.76,72.39047619047618,41.0,63.3
83.3,51.4,105.3,89.3,63.3,36.9,93.0,62.63333333333333,64.6,61.13333333333333,44.5,91.6,113.43333333333334,58.5,73.5,51.3,73.1,73.87692307692306,1749.5463510848126,82.02,72.25714285714285,44.5,64.1
82.2,51.6,109.2,89.2,64.2,36.6,93.0,63.53333333333333,64.4,61.86666666666667,48.0,90.4,110.06666666666666,62.0,73.0,52.2,72.4,74.17435897435897,1736.3826429980277,82.28,72.12380952380951,48.0,64.9
81.1,51.8,113.1,89.1,65.1,36.3,93.0,64.43333333333332,64.2,62.6,51.5,89.2,106.69999999999999,65.5,72.5,53.1,71.7,74.47179487179486,1723.2189349112425,82.53999999999999,71.99047619047619,51.5,65.7
80.0,52.0,117.0,89.0,66.0,36.0,93.0,65.33333333333333,64.0,63.333333333333336,55.0,88.0,103.33333333333333,69.0,72.0,54.0,71.0,74.76923076923076,1710.0552268244576,82.8,71.85714285714285,55.0,66.5
79.9,55.0,111.8,88.2,65.1,37.1,92.23333333333333,65.19999999999999,67.23333333333333,61.6,49.5,87.93333333333334,101.5,71.4,73.8,56.4,69.6,74.02307692307691,1735.3901380670611,81.79333333333332,71.97619047619047,49.5,67.8
