S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
6.75,15.0,39.75,35.25,6.75,48.0,39.25,28.0,21.0,12.75,19.0,20.25,6.75,9.75,27.0,24.75,16.5,22.961538461538463,955.3668639053253,14.9,29.65,25.25,19.5
7.275,13.5,37.8,34.425,7.2,45.525,38.55,25.75,21.0,12.75,18.5,19.575,6.975,8.775,26.025,25.65,17.475,22.217307692307696,895.8150887573963,14.51,28.555,24.5,19.48125
7.8,12.0,35.85,33.6,7.65,43.05,37.85,23.5,21.0,12.75,18.0,18.9,7.2,7.8,25.05,26.55,18.45,21.473076923076924,836.2633136094673,14.120000000000001,27.459999999999997,23.75,19.4625
8.325,10.5,33.9,32.775,8.1,40.575,37.15,21.25,21.0,12.75,17.5,18.225,7.425,6.825,24.075,27.45,19.425,20.728846153846156,776.7115384615383,13.73,26.365,23.0,19.44375
8.85,9.0,31.95,31.95,8.55,38.1,36.45,19.0,21.0,12.75,17.0,17.55,7.65,5.85,23.1,28.35,20.4,19.984615384615385,717.1597633136095,13.34,25.27,22.25,19.425
9.375,7.5,30.0,31.125,9.0,35.625,35.75,16.75,21.0,12.75,16.5,16.875,7.875,4.875,22.125,29.25,21.375,19.240384615384617,657.6079881656805,12.95,24.174999999999997,21.5,19.40625
9.9,6.0,28.05,30.3,9.45,33.15,35.05,14.5,21.0,12.75,16.0,16.2,8.1,3.9000000000000004,21.15,30.15,22.35,18.496153846153845,598.0562130177515,12.56,23.08,20.75,19.3875
10.425,4.5,26.1,29.475,9.9,30.675,34.35,12.25,21.0,12.75,15.5,15.524999999999999,8.325,2.925,20.175,31.05,23.325,17.751923076923077,538.5044378698226,12.17,21.985,20.0,19.36875
10.95,3.0,24.15,28.65,10.35,28.2,33.65,10.0,21.0,12.75,15.0,14.85,8.55,1.9500000000000002,19.2,31.95,24.3,17.00769230769231,478.95266272189355,11.780000000000001,20.89,19.25,19.35
11.475000000000001,1.5,22.2,27.825,10.8,25.724999999999998,32.95,7.75,21.0,12.75,14.5,14.175,8.775,0.9749999999999996,18.225,32.85,25.275,16.263461538461538,419.4008875739646,11.39,19.794999999999998,18.5,19.33125
