S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
129.0,18.0,96.0,57.0,0.0,54.0,99.0,63.0,45.0,36.0,72.0,90.0,99.0,27.0,51.0,81.0,120.0,66.0,1222.6153846153848,93.0,42.0,72.0,54.0,85.5
120.9,17.1,103.8,58.5,1.8,52.8,100.8,66.9,45.0,36.6,72.6,92.1,99.9,29.4,54.3,77.1,117.0,66.83076923076923,1301.144378698225,89.7,43.875,73.41428571428571,53.25,85.65
112.8,16.2,111.6,60.0,3.6,51.6,102.6,70.8,45.0,37.2,73.2,94.2,100.8,31.8,57.6,73.2,114.0,67.66153846153846,1379.6733727810652,86.4,45.75,74.82857142857142,52.5,85.8
104.7,15.3,119.4,61.5,5.4,50.4,104.4,74.7,45.0,37.8,73.8,96.3,101.7,34.2,60.9,69.3,111.0,68.49230769230769,1458.2023668639054,83.1,47.625,76.24285714285715,51.75,85.95
96.6,14.4,127.2,63.0,7.2,49.2,106.2,78.6,45.0,38.4,74.4,98.4,102.6,36.6,64.2,65.4,108.0,69.32307692307693,1536.7313609467456,79.8,49.5,77.65714285714286,51.0,86.1
88.5,13.5,135.0,64.5,9.0,48.0,108.0,82.5,45.0,39.0,75.0,100.5,103.5,39.0,67.5,61.5,105.0,70.15384615384616,1615.2603550295858,76.5,51.375,79.07142857142857,50.25,86.25
80.4,12.6,142.8,66.0,10.8,46.8,109.8,86.4,45.0,39.6,75.6,102.6,104.4,41.4,70.8,57.6,102.0,70.98461538461538,1693.7893491124262,73.2,53.25,80.48571428571428,49.5,86.4
72.30000000000001,11.7,150.6,67.5,12.6,45.6,111.6,90.3,45.0,40.2,76.2,104.7,105.3,43.8,74.1,53.7,99.0,71.81538461538462,1772.3183431952664,69.9,55.125,81.89999999999999,48.75,86.55
64.2,10.8,158.4,69.0,14.4,44.4,113.4,94.2,45.0,40.8,76.8,106.8,106.2,46.2,77.4,49.8,96.0,72.64615384615385,1850.8473372781066,66.6,57.0,83.31428571428572,48.0,86.7
56.10000000000001,9.9,166.2,70.5,16.2,43.2,115.2,98.1,45.0,41.4,77.4,108.9,107.1,48.599999999999994,80.7,45.9,93.0,73.47692307692307,1929.3763313609468,63.3,58.875,84.72857142857143,47.25,86.85
48.0,9.0,174.0,72.0,18.0,42.0,117.0,102.0,45.0,42.0,78.0,111.0,108.0,51.0,84.0,42.0,90.0,74.3076923076923,2007.905325443787,60.0,60.75,86.14285714285714,46.5,87.0
45.0,12.3,172.8,72.0,19.8,41.7,111.6,105.9,43.2,43.8,78.6,111.0,108.0,48.9,85.2,45.3,85.8,74.28461538461538,1993.3988165680473,58.5,61.65,86.0142857142857,47.1,85.5
42.0,15.6,171.6,72.0,21.6,41.4,106.2,109.8,41.4,45.6,79.2,111.0,108.0,46.8,86.4,48.6,81.6,74.26153846153846,1978.8923076923077,57.0,62.55,85.88571428571429,47.7,84.0
39.0,18.9,170.4,72.0,23.4,41.1,100.8,113.7,39.6,47.4,79.8,111.0,108.0,44.7,87.6,51.9,77.4,74.23846153846154,1964.385798816568,55.5,63.45,85.75714285714285,48.3,82.5
36.0,22.2,169.2,72.0,25.2,40.8,95.4,117.6,37.8,49.2,80.4,111.0,108.0,42.6,88.8,55.2,73.2,74.21538461538462,1949.8792899408284,54.0,64.35,85.62857142857143,48.9,81.0
