S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
93.0,81.0,99.0,63.0,0.0,51.0,81.0,120.0,87.0,76.0,0.0,58.0,85.0,9.0,27.0,48.0,327.0,68.76923076923077,1153.562130177515,78.0,57.75,72.42857142857143,28.5,177.0
94.8,79.5,97.8,64.5,0.0,55.8,82.8,120.0,89.1,78.6,0.0,57.6,83.7,12.0,27.0,46.8,311.1,69.55384615384615,1178.137278106509,79.65,58.275,73.11428571428571,29.4,169.05
96.6,78.0,96.6,66.0,0.0,60.6,84.6,120.0,91.2,81.2,0.0,57.2,82.4,15.0,27.0,45.6,295.2,70.33846153846154,1202.712426035503,81.3,58.8,73.8,30.3,161.1
98.4,76.5,95.4,67.5,0.0,65.4,86.4,120.0,93.3,83.8,0.0,56.8,81.1,18.0,27.0,44.4,279.3,71.12307692307692,1227.2875739644971,82.95,59.325,74.4857142857143,31.2,153.15
100.2,75.0,94.2,69.0,0.0,70.2,88.2,120.0,95.4,86.4,0.0,56.4,79.8,21.0,27.0,43.2,263.4,71.90769230769232,1251.8627218934912,84.6,59.85,75.17142857142858,32.1,145.2
102.0,73.5,93.0,70.5,0.0,75.0,90.0,120.0,97.5,89.0,0.0,56.0,78.5,24.0,27.0,42.0,247.5,72.6923076923077,1276.4378698224853,86.25,60.375,75.85714285714286,33.0,137.25
103.8,72.0,91.8,72.0,0.0,79.8,91.8,120.0,99.6,91.6,0.0,55.6,77.2,27.0,27.0,40.8,231.6,73.47692307692307,1301.0130177514793,87.9,60.9,76.54285714285714,33.9,129.3
105.6,70.5,90.6,73.5,0.0,84.6,93.6,120.0,101.7,94.2,0.0,55.2,75.9,30.0,27.0,39.6,215.7,74.26153846153846,1325.5881656804734,89.55,61.425,77.22857142857143,34.8,121.35
107.4,69.0,89.4,75.0,0.0,89.4,95.4,120.0,103.8,96.8,0.0,54.8,74.6,33.0,27.0,38.4,199.8,75.04615384615384,1350.1633136094674,91.2,61.95,77.91428571428573,35.7,113.4
109.2,67.5,88.2,76.5,0.0,94.19999999999999,97.2,120.0,105.9,99.4,0.0,54.4,73.3,36.0,27.0,37.2,183.9,75.83076923076923,1374.7384615384615,92.85,62.475,78.60000000000001,36.6,105.45
111.0,66.0,87.0,78.0,0.0,99.0,99.0,120.0,108.0,102.0,0.0,54.0,72.0,39.0,27.0,36.0,168.0,76.61538461538461,1399.3136094674555,94.5,63.0,79.28571428571429,37.5,97.5
116.4,66.0,86.7,75.9,0.0,96.9,93.6,116.8,108.0,102.0,0.0,52.2,72.0,41.1,28.8,39.6,165.9,75.88461538461539,1442.7727810650886,96.15,62.4,77.80000000000001,40.35,97.35
121.8,66.0,86.4,73.8,0.0,94.8,88.2,113.6,108.0,102.0,0.0,50.4,72.0,43.2,30.6,43.2,163.8,75.15384615384615,1486.2319526627218,97.8,61.8,76.31428571428572,43.2,97.2
127.2,66.0,86.1,71.7,0.0,92.7,82.8,110.4,108.0,102.0,0.0,48.6,72.0,45.3,32.4,46.8,161.7,74.42307692307692,1529.691124260355,99.45,61.2,74.82857142857144,46.05,97.05
132.6,66.0,85.8,69.6,0.0,90.6,77.4,107.2,108.0,102.0,0.0,46.8,72.0,47.4,34.2,50.4,159.6,73.6923076923077,1573.150295857988,101.1,60.6,73.34285714285714,48.9,96.9
138.0,66.0,85.5,67.5,0.0,88.5,72.0,104.0,108.0,102.0,0.0,45.0,72.0,49.5,36.0,54.0,157.5,72.96153846153845,1616.6094674556211,102.75,60.0,71.85714285714286,51.75,96.75
143.4,66.0,85.2,65.4,0.0,86.4,66.6,100.8,108.0,102.0,0.0,43.2,72.0,51.6,37.8,57.6,155.4,72.23076923076923,1660.0686390532544,104.4,59.4,70.37142857142857,54.6,96.6
148.8,66.0,84.9,63.3,0.0,84.3,61.199999999999996,97.6,108.0,102.0,0.0,41.4,72.0,53.7,39.6,61.2,153.3,71.5,1703.5278106508877,106.05,58.8,68.88571428571429,57.45,96.45
154.2,66.0,84.6,61.2,0.0,82.2,55.8,94.4,108.0,102.0,0.0,39.6,72.0,55.8,41.4,64.8,151.2,70.76923076923077,1746.9869822485207,107.7,58.2,67.4,60.3,96.3
159.6,66.0,84.3,59.099999999999994,0.0,80.1,50.4,91.2,108.0,102.0,0.0,37.8,72.0,57.900000000000006,43.2,68.4,149.1,70.03846153846153,1790.4461538461537,109.35,57.6,65.91428571428571,63.150000000000006,96.15
165.0,66.0,84.0,57.0,0.0,78.0,45.0,88.0,108.0,102.0,0.0,36.0,72.0,60.0,45.0,72.0,147.0,69.3076923076923,1833.905325443787,111.0,57.0,64.42857142857143,66.0,96.0
155.7,68.7,83.7,64.2,0.0,76.2,43.2,83.1,109.2,102.6,0.0,37.8,75.1,57.0,49.2,70.2,138.0,69.1923076923077,1820.43550295858,109.95,57.15,64.42857142857143,63.6,93.6
146.4,71.4,83.4,71.4,0.0,74.4,41.4,78.2,110.4,103.2,0.0,39.6,78.2,54.0,53.4,68.4,129.0,69.07692307692308,1806.9656804733727,108.9,57.3,64.42857142857143,61.2,91.2
137.1,74.1,83.1,78.6,0.0,72.6,39.6,73.3,111.6,103.8,0.0,41.4,81.3,51.0,57.6,66.6,120.0,68.96153846153847,1793.4958579881657,107.85,57.45,64.42857142857143,58.8,88.8
127.8,76.8,82.8,85.8,0.0,70.8,37.8,68.4,112.8,104.4,0.0,43.2,84.4,48.0,61.8,64.8,111.0,68.84615384615385,1780.0260355029584,106.8,57.6,64.42857142857143,56.4,86.4
118.5,79.5,82.5,93.0,0.0,69.0,36.0,63.5,114.0,105.0,0.0,45.0,87.5,45.0,66.0,63.0,102.0,68.73076923076923,1766.5562130177514,105.75,57.75,64.42857142857143,54.0,84.0
109.19999999999999,82.2,82.2,100.2,0.0,67.2,34.2,58.599999999999994,115.2,105.6,0.0,46.8,90.6,42.0,70.2,61.2,93.0,68.61538461538461,1753.0863905325443,104.7,57.9,64.42857142857143,51.6,81.6
99.89999999999999,84.9,81.9,107.4,0.0,65.4,32.4,53.699999999999996,116.4,106.2,0.0,48.6,93.7,39.0,74.4,59.4,84.0,68.5,1739.616568047337,103.65,58.05,64.42857142857143,49.2,79.2
90.6,87.6,81.6,114.6,0.0,63.6,30.6,48.8,117.6,106.8,0.0,50.4,96.8,36.0,78.6,57.6,75.0,68.38461538461539,1726.14674556213,102.6,58.2,64.42857142857143,46.8,76.8
81.3,90.3,81.3,121.8,0.0,61.8,28.8,43.9,118.8,107.4,0.0,52.2,99.9,33.0,82.80000000000001,55.8,66.0,68.26923076923077,1712.6769230769228,101.55,58.35,64.42857142857143,44.400000000000006,74.4
72.0,93.0,81.0,129.0,0.0,60.0,27.0,39.0,120.0,108.0,0.0,54.0,103.0,30.0,87.0,54.0,57.0,68.15384615384616,1699.2071005917157,100.5,58.5,64.42857142857143,42.0,72.0
