S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
30.0,36.0,105.0,81.0,108.0,105.0,76.0,99.0,99.0,75.0,0.0,111.0,99.0,132.0,42.0,54.0,69.0,78.76923076923077,1148.9467455621302,85.4,85.28571428571429,0.0,74.25
34.8,36.3,101.4,85.5,112.2,96.3,76.5,96.0,99.0,75.0,0.0,107.4,99.0,121.5,37.8,54.3,71.1,78.41538461538462,1185.315976331361,83.28,86.14285714285715,0.0,71.175
39.6,36.6,97.8,90.0,116.4,87.6,77.0,93.0,99.0,75.0,0.0,103.8,99.0,111.0,33.6,54.6,73.2,78.06153846153846,1221.6852071005917,81.16000000000001,87.0,0.0,68.1
44.4,36.9,94.2,94.5,120.6,78.9,77.5,90.0,99.0,75.0,0.0,100.2,99.0,100.5,29.4,54.9,75.3,77.70769230769231,1258.0544378698226,79.04,87.85714285714286,0.0,65.025
49.2,37.2,90.6,99.0,124.8,70.2,78.0,87.0,99.0,75.0,0.0,96.6,99.0,90.0,25.2,55.2,77.4,77.35384615384615,1294.4236686390532,76.92,88.71428571428572,0.0,61.95
54.0,37.5,87.0,103.5,129.0,61.5,78.5,84.0,99.0,75.0,0.0,93.0,99.0,79.5,21.0,55.5,79.5,77.0,1330.792899408284,74.80000000000001,89.57142857142858,0.0,58.875
58.8,37.8,83.4,108.0,133.2,52.800000000000004,79.0,81.0,99.0,75.0,0.0,89.4,99.0,69.0,16.799999999999997,55.8,81.6,76.64615384615385,1367.1621301775149,72.68,90.42857142857143,0.0,55.8
63.6,38.1,79.8,112.5,137.4,44.10000000000001,79.5,78.0,99.0,75.0,0.0,85.8,99.0,58.5,12.599999999999998,56.1,83.7,76.29230769230769,1403.5313609467455,70.56,91.28571428571429,0.0,52.724999999999994
68.4,38.4,76.2,117.0,141.6,35.400000000000006,80.0,75.0,99.0,75.0,0.0,82.2,99.0,48.0,8.399999999999999,56.4,85.8,75.93846153846154,1439.9005917159764,68.44,92.14285714285715,0.0,49.65
73.19999999999999,38.7,72.6,121.5,145.8,26.700000000000003,80.5,72.0,99.0,75.0,0.0,78.6,99.0,37.5,4.199999999999996,56.7,87.9,75.58461538461538,1476.269822485207,66.32000000000001,93.0,0.0,46.575
