S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
9.0,0.0,69.0,9.0,18.0,171.0,55.0,18.0,45.0,0.0,30.0,36.0,9.0,9.0,30.0,57.0,18.0,36.07692307692308,1939.917159763313,16.2,32.6,75.0,28.5
11.1,0.0,66.6,11.1,17.1,155.7,52.2,17.1,45.0,0.0,30.1,32.4,9.0,8.1,28.8,63.9,24.0,34.41538461538462,1770.4118343195262,15.54,32.0,69.9,31.2
13.2,0.0,64.2,13.2,16.2,140.4,49.4,16.2,45.0,0.0,30.2,28.8,9.0,7.2,27.6,70.8,30.0,32.753846153846155,1600.9065088757393,14.879999999999999,31.400000000000002,64.8,33.9
15.3,0.0,61.8,15.3,15.3,125.1,46.6,15.3,45.0,0.0,30.3,25.2,9.0,6.3,26.4,77.7,36.0,31.092307692307692,1431.4011834319522,14.219999999999999,30.8,59.7,36.6
17.4,0.0,59.4,17.4,14.4,109.8,43.8,14.4,45.0,0.0,30.4,21.6,9.0,5.4,25.2,84.6,42.0,29.430769230769233,1261.8958579881653,13.559999999999999,30.200000000000003,54.6,39.3
19.5,0.0,57.0,19.5,13.5,94.5,41.0,13.5,45.0,0.0,30.5,18.0,9.0,4.5,24.0,91.5,48.0,27.76923076923077,1092.3905325443784,12.899999999999999,29.6,49.5,42.0
21.6,0.0,54.6,21.6,12.6,79.19999999999999,38.2,12.6,45.0,0.0,30.6,14.399999999999999,9.0,3.5999999999999996,22.8,98.4,54.0,26.107692307692307,922.8852071005914,12.24,29.0,44.400000000000006,44.7
23.700000000000003,0.0,52.2,23.700000000000003,11.7,63.89999999999999,35.400000000000006,11.7,45.0,0.0,30.7,10.8,9.0,2.7,21.6,105.30000000000001,60.0,24.446153846153848,753.3798816568044,11.58,28.400000000000002,39.300000000000004,47.400000000000006
25.8,0.0,49.8,25.8,10.8,48.599999999999994,32.6,10.8,45.0,0.0,30.8,7.199999999999999,9.0,1.7999999999999998,20.4,112.2,66.0,22.784615384615385,583.8745562130175,10.92,27.8,34.2,50.1
27.900000000000002,0.0,47.400000000000006,27.900000000000002,9.9,33.29999999999998,29.8,9.9,45.0,0.0,30.9,3.6000000000000014,9.0,0.9000000000000004,19.200000000000003,119.1,72.0,21.123076923076923,414.3692307692306,10.26,27.200000000000003,29.1,52.8
30.0,0.0,45.0,30.0,9.0,18.0,27.0,9.0,45.0,0.0,31.0,0.0,9.0,0.0,18.0,126.0,78.0,19.46153846153846,244.86390532544385,9.6,26.6,24.0,55.5
29.1,0.9,43.2,30.0,8.1,20.4,27.9,8.1,42.7,3.4,31.2,10.5,9.0,3.3,17.1,121.2,75.3,20.346153846153843,286.75266272189356,11.84,26.64,24.03333333333333,54.225
28.2,1.8,41.4,30.0,7.2,22.8,28.8,7.2,40.4,6.8,31.4,21.0,9.0,6.6,16.2,116.4,72.6,21.23076923076923,328.64142011834326,14.079999999999998,26.68,24.066666666666666,52.95
27.3,2.7,39.6,30.0,6.3,25.2,29.7,6.3,38.1,10.2,31.6,31.5,9.0,9.899999999999999,15.3,111.6,69.9,22.115384615384613,370.530177514793,16.32,26.720000000000002,24.1,51.675
26.4,3.6,37.8,30.0,5.4,27.6,30.6,5.4,35.8,13.6,31.8,42.0,9.0,13.2,14.4,106.8,67.2,23.0,412.41893491124273,18.56,26.76,24.133333333333333,50.4
25.5,4.5,36.0,30.0,4.5,30.0,31.5,4.5,33.5,17.0,32.0,52.5,9.0,16.5,13.5,102.0,64.5,23.884615384615383,454.30769230769243,20.799999999999997,26.8,24.166666666666664,49.125
24.6,5.4,34.2,30.0,3.5999999999999996,32.4,32.4,3.5999999999999996,31.200000000000003,20.4,32.2,63.0,9.0,19.799999999999997,12.6,97.2,61.8,24.769230769230766,496.1964497041422,23.04,26.84,24.2,47.85
23.7,6.3,32.4,30.0,2.7,34.8,33.3,2.7,28.900000000000002,23.8,32.4,73.5,9.0,23.099999999999998,11.7,92.4,59.099999999999994,25.653846153846153,538.0852071005919,25.279999999999998,26.88,24.233333333333334,46.575
22.8,7.2,30.6,30.0,1.7999999999999998,37.2,34.2,1.7999999999999998,26.6,27.2,32.6,84.0,9.0,26.4,10.8,87.6,56.4,26.538461538461537,579.9739644970416,27.519999999999996,26.92,24.266666666666666,45.3
21.9,8.1,28.8,30.0,0.9000000000000004,39.599999999999994,35.1,0.9000000000000004,24.3,30.599999999999998,32.8,94.5,9.0,29.7,9.9,82.80000000000001,53.7,27.423076923076923,621.8627218934913,29.759999999999998,26.96,24.299999999999997,44.025
21.0,9.0,27.0,30.0,0.0,42.0,36.0,0.0,22.0,34.0,33.0,105.0,9.0,33.0,9.0,78.0,51.0,28.307692307692307,663.751479289941,32.0,27.0,24.333333333333332,42.75
19.8,9.0,26.1,28.8,0.9,41.1,37.8,0.0,20.7,31.5,31.3,107.7,9.0,33.9,10.8,73.2,52.2,27.976923076923075,710.4071005917161,31.98,26.6,23.599999999999998,42.525
18.6,9.0,25.2,27.6,1.8,40.2,39.6,0.0,19.4,29.0,29.6,110.4,9.0,34.8,12.6,68.4,53.4,27.646153846153844,757.0627218934912,31.96,26.2,22.866666666666667,42.3
17.4,9.0,24.3,26.4,2.7,39.3,41.4,0.0,18.1,26.5,27.9,113.1,9.0,35.7,14.4,63.6,54.6,27.315384615384616,803.7183431952665,31.94,25.8,22.133333333333333,42.075
16.2,9.0,23.4,25.2,3.6,38.4,43.2,0.0,16.8,24.0,26.2,115.8,9.0,36.6,16.2,58.8,55.8,26.984615384615385,850.3739644970416,31.92,25.4,21.4,41.85
15.0,9.0,22.5,24.0,4.5,37.5,45.0,0.0,15.5,21.5,24.5,118.5,9.0,37.5,18.0,54.0,57.0,26.653846153846153,897.0295857988167,31.9,25.0,20.666666666666664,41.625
13.8,9.0,21.6,22.8,5.4,36.6,46.8,0.0,14.2,19.0,22.8,121.2,9.0,38.4,19.8,49.2,58.2,26.323076923076922,943.6852071005918,31.88,24.6,19.933333333333334,41.4
12.6,9.0,20.7,21.6,6.3,35.7,48.6,0.0,12.9,16.5,21.1,123.9,9.0,39.3,21.6,44.4,59.4,25.99230769230769,990.3408284023669,31.86,24.2,19.2,41.175
11.4,9.0,19.8,20.4,7.2,34.8,50.4,0.0,11.6,14.0,19.4,126.6,9.0,40.2,23.4,39.6,60.6,25.661538461538463,1036.9964497041422,31.84,23.8,18.46666666666667,40.95
10.200000000000001,9.0,18.9,19.200000000000003,8.1,33.9,52.2,0.0,10.299999999999999,11.5,17.700000000000003,129.3,9.0,41.1,25.2,34.800000000000004,61.8,25.33076923076923,1083.6520710059172,31.82,23.4,17.733333333333334,40.725
9.0,9.0,18.0,18.0,9.0,33.0,54.0,0.0,9.0,9.0,16.0,132.0,9.0,42.0,27.0,30.0,63.0,25.0,1130.3076923076924,31.8,23.0,17.0,40.5
9.0,9.0,17.1,18.0,9.0,29.7,54.0,1.3,9.0,9.0,14.4,132.0,9.0,42.9,26.1,33.6,61.8,24.653846153846153,1135.501775147929,32.06,22.5,15.9,41.1
9.0,9.0,16.2,18.0,9.0,26.4,54.0,2.6,9.0,9.0,12.8,132.0,9.0,43.8,25.2,37.2,60.6,24.307692307692307,1140.6958579881657,32.32,22.0,14.8,41.7
9.0,9.0,15.3,18.0,9.0,23.1,54.0,3.9000000000000004,9.0,9.0,11.2,132.0,9.0,44.7,24.3,40.8,59.4,23.961538461538463,1145.8899408284024,32.58,21.5,13.7,42.3
